Name	Id	*StringName	GroupName
Null	0	Null	
Act 1 - Town	1	Rogue Encampment	act1 Rogue Encampment TZ
Act 1 - Blood Moor	2	Blood Moor	act1 Blood Moor TZ
Act 1 - Cold Plains	3	Cold Plains	act1 Cold Plains TZ
Act 1 - Stony Field	4	Stony Field	act1 Stony Field TZ
Act 1 - Dark Wood	5	Dark Wood	act1 Dark Wood TZ
Act 1 - Black Marsh	6	Black Marsh	act1 Black Marsh TZ
Act 1 - Tamoe Highland	7	Tamoe Highland	act1 Tamoe Highland TZ
Act 1 - Den of Evil	8	Den of Evil	act1 Den of Evil TZ
Act 1 - Cave	9	Cave	act1 Cave TZ
Act 1 - Underground Passage	10	Underground Passage	act1 Underground Passage TZ
Act 1 - Hole	11	Hole	act1 Hole TZ
Act 1 - Pit	12	Pit	act1 Pit TZ
Act 1 - Burial Grounds	13	Burial Grounds	act1 Burial Grounds TZ
Act 1 - Crypt	14	Crypt	act1 Crypt TZ
Act 1 - Mausoleum	15	Mausoleum	act1 Mausoleum TZ
Act 1 - Forgotten Tower	16	Forgotten Tower	act1 Forgotten Tower TZ
Act 1 - Monastery Gate	17	Monastery Gate	act1 Monastery Gate TZ
Act 1 - Outer Cloister	18	Outer Cloister	act1 Outer Cloister TZ
Act 1 - Barracks	19	Barracks	act1 Barracks TZ
Act 1 - Jail	20	Jail Level 1	act1 Jail TZ
Act 1 - Inner Cloister	21	Inner Cloister	act1 Inner Cloister TZ
Act 1 - Cathedral	22	Cathedral	act1 Cathedral TZ
Act 1 - Catacombs	23	Catacombs	act1 Catacombs TZ
Act 1 - Tristram	24	Tristram	act1 Tristram TZ
Act 1 - Moo Moo Farm	25	Moo Moo Farm	act1 MooMooFarmGroup TZ
Act 2 - Town	26	Lut Gholein	act2 Lut Gholein TZ
Act 2 - Rocky Waste	27	Rocky Waste	act2 Rocky Waste TZ
Act 2 - Dry Hills	28	Dry Hills	act2 Dry Hills TZ
Act 2 - Far Oasis	29	Far Oasis	act2 Far Oasis TZ
Act 2 - Lost City	30	Lost City	act2 Lost City TZ
Act 2 - Valley of Snakes	31	Valley of Snakes	act2 Valley of Snakes TZ
Act 2 - Canyon of the Magi	32	Canyon of the Magi	act2 Canyon of the Magi TZ
Act 2 - Sewers	33	Sewers	act2 Lut Gholein Sewers TZ
Act 2 - Harem	34	Harem	act2 Harem TZ
Act 2 - Palace Cellar	35	Palace Cellar	act2 Palace Cellar TZ
Act 2 - Stony Tomb	36	Stony Tomb	act2 Stony Tomb TZ
Act 2 - Halls of the Dead	37	Halls of the Dead	act2 Halls of the Dead TZ
Act 2 - Claw Viper Temple	38	Claw Viper Temple	act2 Claw Viper Temple TZ
Act 2 - Maggot Lair	39	Maggot Lair	act2 Maggot Lair TZ
Act 2 - Ancient Tunnels	40	Ancient Tunnels	act2 Ancient Tunnels TZ
Act 2 - Tal Rasha's Tomb	41	Tal Rasha's Tomb	act2 Tal Rasha's Tomb TZ
Act 2 - Duriel's Lair	42	Duriel's Lair	act2 Duriel's Lair TZ
Act 2 - Arcane Sanctuary	43	Arcane Sanctuary	act2 Arcane Sanctuary TZ
Act 3 - Town	44	Kurast Docktown	act3 Kurast Docktown TZ
Act 3 - Spider Forest	45	Spider Forest	act3 Spider Forest TZ
Act 3 - Great Marsh	46	Great Marsh	act3 Great Marsh TZ
Act 3 - Flayer Jungle	47	Flayer Jungle	act3 Flayer Jungle TZ
Act 3 - Lower Kurast	48	Lower Kurast	act3 Lower Kurast TZ
Act 3 - Kurast Bazaar	49	Kurast Bazaar	act3 Kurast Bazaar TZ
Act 3 - Upper Kurast	50	Upper Kurast	act3 Upper Kurast TZ
Act 3 - Kurast Causeway	51	Kurast Causeway	act3 Kurast Causeway TZ
Act 3 - Travincal	52	Travincal	act3 Travincal TZ
Act 3 - Arachnid Lair	53	Arachnid Lair	act3 Spider Cave TZ
Act 3 - Spider Cavern	54	Spider Cavern	act3 Spider Cavern TZ
Act 3 - Swampy Pit	55	Swampy Pit	act3 Swampy Pit TZ
Act 3 - Flayer Dungeon	56	Flayer Dungeon	act3 Flayer Dungeon TZ
Act 3 - Sewers	57	Sewers	act3 Kurast Sewers TZ
Act 3 - Ruined Temple	58	Ruined Temple	act3 Ruined Temple TZ
Act 3 - Disused Fane	59	Disused Fane	act3 Disused Fane TZ
Act 3 - Forgotten Reliquary	60	Forgotten Reliquary	act3 Forgotten Reliquary TZ
Act 3 - Forgotten Temple	61	Forgotten Temple	act3 Forgotten Temple TZ
Act 3 - Ruined Fane	62	Ruined Fane	act3 Ruined Fane TZ
Act 3 - Disused Reliquary	63	Disused Reliquary	act3 Disused Reliquary TZ
Act 3 - Durance of Hate	64	Durance of Hate	act3 Durance of Hate TZ
Act 4 - Town	65	The Pandemonium Fortress	act4 The Pandemonium Fortress TZ
Act 4 - Outer Steppes	66	Outer Steppes	act4 Outer Steppes TZ
Act 4 - Plains of Despair	67	Plains of Despair	act4 Plains of Despair TZ
Act 4 - City of the Damned	68	City of the Damned	act4 City of the Damned TZ
Act 4 - River of Flame	69	River of Flame	act4 River of Flame TZ
Act 4 - Chaos Sanctuary	70	The Chaos Sanctuary	act4 Chaos Sanctum TZ
Expansion			
Act 5 - Town	71	Harrogath	act5 Harrogath TZ
Act 5 - Bloody Foothills	72	Bloody Foothills	act5 Bloody Foothills TZ
Act 5 - Frigid Highlands	73	Frigid Highlands	act5 Rigid Highlands TZ
Act 5 - Arreat Plateau	74	Arreat Plateau	act5 Arreat Plateau TZ
Act 5 - Crystalline Passage	75	Crystalline Passage	act5 Crystalized Cavern Level 1 TZ
Act 5 - Frozen River	76	Frozen River	act5 Cellar of Pity TZ
Act 5 - Glacial Trail	77	Glacial Trail	act5 Crystalized Cavern Level 2 TZ
