LevelGroupId	ParentLevelGroupId	CompleteThreshold	Effect	*Name	NameString
Null					
Act 1		100		Act 1	act1
Act 2		100		Act 2	act2
Act 3		100		Act 3	act3
Act 4		100		Act 4	act4
Act 5		100		Act 5	act5
Act 1 - Town		100		Rogue Encampment	Rogue Encampment
Act 1 - Blood Moor	Act 1	100		Blood Moor	Blood Moor
Act 1 - Cold Plains	Act 1	100		Cold Plains	Cold Plains
Act 1 - Stony Field	Act 1	100		Stony Field	Stony Field
Act 1 - Dark Wood	Act 1	100		Dark Wood	Dark Wood
Act 1 - Black Marsh	Act 1	100		Black Marsh	Black Marsh
Act 1 - Tamoe Highland	Act 1	100		Tamoe Highland	Tamoe Highland
Act 1 - Den of Evil	Act 1	100		Den of Evil	Den of Evil
Act 1 - Cave	Act 1	100		Cave	Cave
Act 1 - Underground Passage	Act 1	100		Underground Passage	Underground Passage
Act 1 - Hole	Act 1	100		Hole	Hole
Act 1 - Pit	Act 1	100		Pit	Act 1 Pit
Act 1 - Burial Grounds	Act 1	100		Burial Grounds	Burial Grounds
Act 1 - Crypt	Act 1	100		Crypt	Crypt
Act 1 - Mausoleum	Act 1	100		Mausoleum	Mausoleum
Act 1 - Forgotten Tower	Act 1	100		Forgotten Tower	Forgotten Tower
Act 1 - Monastery Gate	Act 1	100		Monastery Gate	Monastery Gate
Act 1 - Outer Cloister	Act 1	100		Outer Cloister	Outer Cloister
Act 1 - Barracks	Act 1	100		Barracks	Barracks
Act 1 - Jail	Act 1	100		Jail Level 1	Jail
Act 1 - Inner Cloister	Act 1	100		Inner Cloister	Inner Cloister
Act 1 - Cathedral	Act 1	100		Cathedral	Cathedral
Act 1 - Catacombs	Act 1	100		Catacombs	Catacombs
Act 1 - Tristram	Act 1	100		Tristram	Tristram
Act 1 - Moo Moo Farm		100	1	Moo Moo Farm	MooMooFarmGroup
Act 2 - Town		100		Lut Gholein	Lut Gholein
Act 2 - Rocky Waste	Act 2	100		Rocky Waste	Rocky Waste
Act 2 - Dry Hills	Act 2	100		Dry Hills	Dry Hills
Act 2 - Far Oasis	Act 2	100		Far Oasis	Far Oasis
Act 2 - Lost City	Act 2	100		Lost City	Lost City
Act 2 - Valley of Snakes	Act 2	100		Valley of Snakes	Valley of Snakes
Act 2 - Canyon of the Magi	Act 2	100		Canyon of the Magi	Canyon of the Magi
Act 2 - Sewers	Act 2	100		Sewers	Lut Gholein Sewers
Act 2 - Harem	Act 2	100		Harem	Harem
Act 2 - Palace Cellar	Act 2	100		Palace Cellar	Palace Cellar
Act 2 - Stony Tomb	Act 2	100		Stony Tomb	Stony Tomb
Act 2 - Halls of the Dead	Act 2	100		Halls of the Dead	Halls of the Dead
Act 2 - Claw Viper Temple	Act 2	100		Claw Viper Temple	Claw Viper Temple
Act 2 - Maggot Lair	Act 2	100		Maggot Lair	Maggot Lair
Act 2 - Ancient Tunnels	Act 2	100		Ancient Tunnels	Ancient Tunnels
Act 2 - Tal Rasha's Tomb	Act 2	100		Tal Rasha's Tomb	Tal Rasha's Tomb
Act 2 - Duriel's Lair	Act 2	100		Duriel's Lair	Duriel's Lair
Act 2 - Arcane Sanctuary	Act 2	100		Arcane Sanctuary	Arcane Sanctuary
Act 3 - Town		100		Kurast Docktown	Kurast Docktown
Act 3 - Spider Forest	Act 3	100		Spider Forest	Spider Forest
Act 3 - Great Marsh	Act 3	100		Great Marsh	Great Marsh
Act 3 - Flayer Jungle	Act 3	100		Flayer Jungle	Flayer Jungle
Act 3 - Lower Kurast	Act 3	100		Lower Kurast	Lower Kurast
Act 3 - Kurast Bazaar	Act 3	100		Kurast Bazaar	Kurast Bazaar
Act 3 - Upper Kurast	Act 3	100		Upper Kurast	Upper Kurast
Act 3 - Kurast Causeway	Act 3	100		Kurast Causeway	Kurast Causeway
Act 3 - Travincal	Act 3	100		Travincal	Travincal
Act 3 - Arachnid Lair	Act 3	100		Arachnid Lair	Spider Cave
Act 3 - Spider Cavern	Act 3	100		Spider Cavern	Spider Cavern
Act 3 - Swampy Pit	Act 3	100		Swampy Pit	Swampy Pit
Act 3 - Flayer Dungeon	Act 3	100		Flayer Dungeon	Flayer Dungeon
Act 3 - Sewers	Act 3	100		Sewers	Kurast Sewers
Act 3 - Ruined Temple	Act 3	100		Ruined Temple	Ruined Temple
Act 3 - Disused Fane	Act 3	100		Disused Fane	Disused Fane
Act 3 - Forgotten Reliquary	Act 3	100		Forgotten Reliquary	Forgotten Reliquary
Act 3 - Forgotten Temple	Act 3	100		Forgotten Temple	Forgotten Temple
Act 3 - Ruined Fane	Act 3	100		Ruined Fane	Ruined Fane
Act 3 - Disused Reliquary	Act 3	100		Disused Reliquary	Disused Reliquary
Act 3 - Durance of Hate	Act 3	100		Durance of Hate	Durance of Hate
Act 4 - Town		100		The Pandemonium Fortress	The Pandemonium Fortress
Act 4 - Outer Steppes	Act 4	100		Outer Steppes	Outer Steppes
Act 4 - Plains of Despair	Act 4	100		Plains of Despair	Plains of Despair
Act 4 - City of the Damned	Act 4	100		City of the Damned	City of the Damned
Act 4 - River of Flame	Act 4	100		River of Flame	River of Flame
Act 4 - Chaos Sanctuary	Act 4	100		The Chaos Sanctuary	Chaos Sanctum
Act 5 - Town		100		Harrogath	Harrogath
Act 5 - Bloody Foothills	Act 5	100		Bloody Foothills	Bloody Foothills
Act 5 - Frigid Highlands	Act 5	100		Frigid Highlands	Rigid Highlands
Act 5 - Arreat Plateau	Act 5	100		Arreat Plateau	Arreat Plateau
Act 5 - Crystalline Passage	Act 5	100		Crystalline Passage	Crystalized Cavern Level 1
Act 5 - Frozen River	Act 5	100		Frozen River	Cellar of Pity
