id	Key	enUS	zhTW
4397	skillname6	Magic Arrow	魔法箭
4401	skillname7	Fire Arrow	火焰箭
4405	skillname8	Inner Sight	心靈視野
4409	skillname9	Critical Strike	致命攻勢
4413	skillname10	Jab	戳刺
4417	skillname11	Cold Arrow	冷霜箭
4421	skillname12	Multiple Shot	多重箭
4425	skillname13	Dodge	閃躲
4429	skillname14	Power Strike	充能強擊
4433	skillname15	Poison Javelin	劇毒標槍
4437	skillname16	Exploding Arrow	爆裂箭
4441	skillname17	Slow Missiles	緩箭術
4445	skillname18	Avoid	閃身
4449	skillname19	Impale	穿刺
4453	skillname20	Lightning Bolt	閃電槍
4457	skillname21	Ice Arrow	寒冰箭
4461	skillname22	Guided Arrow	導引箭
4465	skillname23	Penetrate	精準攻勢
4469	skillname24	Charged Strike	聚能強擊
4473	skillname25	Plague Javelin	瘟疫標槍
4477	skillname26	Strafe	掃射
4481	skillname27	Immolation Arrow	熾炎箭
4485	skillname28	Decoy	替身
4489	skillname29	Evade	閃避
4493	skillname30	Fend	疾刺
4497	skillname31	Freezing Arrow	冰凍箭
4501	skillname32	Valkyrie	女武神
4505	skillname33	Pierce	貫穿攻勢
4509	skillname34	Lightning Strike	閃電強擊
4513	skillname35	Lightning Fury	閃電烈怒
4517	skillname36	Fire Bolt	火焰彈
4521	skillname37	Warmth	暖流
4525	skillname38	Charged Bolt	電能彈
4529	skillname39	Ice Bolt	寒冰彈
4533	skillname40	Frozen Armor	冰封甲
4537	skillname41	Inferno	煉獄之火
4541	skillname42	Static Field	靜電力場
4545	skillname43	Telekinesis	心靈傳動
4549	skillname44	Frost Nova	冰霜新星
4553	skillname45	Ice Blast	寒冰球
4557	skillname46	Blaze	熾烈之徑
4561	skillname47	Fire Ball	火球術
4565	skillname48	Nova	閃電新星
4569	skillname49	Lightning	閃電箭
4573	skillname50	Shiver Armor	碎冰甲
4577	skillname51	Fire Wall	火牆術
4581	skillname52	Enchant	附魔
4585	skillname53	Chain Lightning	連鎖閃電
4589	skillname54	Teleport	傳送術
4593	skillname55	Glacial Spike	冰川之槍
4597	skillname56	Meteor	隕石術
4601	skillname57	Thunder Storm	雷電風暴
4605	skillname58	Energy Shield	能量護盾
4609	skillname59	Blizzard	暴風雪
4613	skillname60	Chilling Armor	寒冰甲
4617	skillsname61	Fire Mastery	火焰專精
4621	skillname62	Hydra	多頭蛇
4625	skillname63	Lightning Mastery	閃電專精
4629	skillname64	Frozen Orb	冰封球
4633	skillname65	Cold Mastery	冰寒專精
4637	skillname66	Amplify Damage	傷害加深
4641	skillname67	Teeth	剔骨之牙
4645	skillname68	Bone Armor	骸骨護甲
4649	skillname69	Skeleton Mastery	骷髏專精
4653	skillname70	Raise Skeleton	復生骷髏
4657	skillname71	Dim Vision	昏暗視野
4661	skillname72	Weaken	削弱
4665	skillname73	Poison Dagger	淬毒匕首
4669	skillname74	Corpse Explosion	屍爆
4673	skillname75	Clay Golem	黏土魔像
4677	skillname76	Iron Maiden	攻擊反噬
4681	skillname77	Terror	恐懼
4685	skillname78	Bone Wall	骨牆
4689	skillname79	Golem Mastery	魔像專精
4693	skillname80	Raise Skeletal Mage	復生骷髏法師
4697	skillname81	Confuse	混亂
4701	skillname82	Life Tap	偷取生命
4705	skillname83	Poison Explosion	毒爆
4709	skillname84	Bone Spear	骨矛
4713	skillname85	Blood Golem	鮮血魔像
4717	skillname86	Attract	致命吸引
4721	skillname87	Decrepify	衰老
4725	skillname88	Bone Prison	骨牢
4729	skillname89	Summon Resist	召喚物抗性
4733	skillname90	Iron Golem	鋼鐵魔像
4737	skillname91	Lower Resist	降低抗性
4741	skillname92	Poison Nova	劇毒新星
4745	skillname93	Bone Spirit	骸骨之魂
4749	skillname94	Fire Golem	火焰魔像
4753	skillname95	Revive	重生
4757	skillname96	Sacrifice	犧牲打擊
4761	skillname97	Smite	盾牌重擊
4765	skillname98	Might	力量
4769	skillname99	Prayer	祈禱
4773	skillname100	Resist Fire	抗火
4777	skillname101	Holy Bolt	聖光彈
4781	skillname102	Holy Fire	神聖火焰
