id	old	new
686	交談協助	聊天說明
687	交談指令	聊天指令
688	要選擇一個人物，點選人物的肖像，此時肖像旁邊會出現一個光暈。要解除一個肖像的選定狀態，點選一下他們的肖像。	要選擇一個對象，滑鼠左鍵點擊角色的圖像，此時圖像週圍會亮起。要解除角色的選定狀態，點選一下他們的圖像。
689	位於螢幕左側、交談視窗下面的按鈕具有下列的功能：	聊天視窗下方、位於螢幕左側的按鈕具有下列的功能：
690	發送會把你目前在交談頻道中輸入的文字送給所有人，不管你目前選擇的是那一個人物。只要你在文字區輸入文字，這個按鈕就會自動亮起來。	「發送」會把你的訊息發送給目前在你的聊天頻道中的所有人，無論你是否已選擇了誰的圖像。只要你在文字區輸入文字，這個按鈕就會自動亮起來。
691	耳語可以把你的訊息送給你目前選擇的人物。只要你在文字區輸入文字，這個按鈕就會自動亮起來。	「悄悄話」會把你的訊息以密語的方式發送給目前選擇的對象。只要在文字區輸入文字，這個按鈕就會自動亮起來。
692	緘默會把你目前選擇人物的訊息給過濾掉。被你標示為緘默的人物，圖像上面會打上一個紅色的大叉。這個按鈕在你選擇了另一個人物之後，就可以再度選用。	「緘默」會過濾掉你目前選擇對象的訊息。被你標示為緘默的對象，圖像上面會打上一個紅色的大叉。這個按鈕在你選擇了另一個對象之後，就可以再度選用。
693	解除緘默可以讓你再次從設定為緘默的玩者那邊收到訊息。	「解除緘默」可以讓你再次從設定為緘默的玩家那邊收到訊息。
694	情感表現可以讓你做出一些動作，讓整個交談室中的人都能透過文字「看」到你的表情。	「表情」可以讓整個聊天室的人都能透過文字「看」到你的動作。
695	舉例來說，如果Doomhammer想要和所有在交談室中的人打個招呼，他可以輸入「waves hello」，然後點選EMOTE按鈕。每一個在頻道上的人都會收到「Doomhammer waves hello」的訊息。只要你在文字區輸入文字，這個按鈕就會自動亮起來。	舉例來說，Doomhammer 想和聊天室中的所有人打個招呼，他可以輸入 <waves hello.> 然後點選「表情」按鈕。頻道裡的每個人都會收到 <Doomhammer waves hello.>的訊息。只要你在文字區輸入文字，這個按鈕就會自動亮起來。
696	ÿc5灰色文字ÿc4表示有人加入或是離開交談頻道。	ÿc5灰色文字ÿc4表示有人加入或是離開聊天頻道。
697	ÿc7金色文字ÿc4表示其他人對整個頻道大聲疾呼	ÿc7金色文字ÿc4表示發言者的名字。
698	ÿc0白色文字ÿc4表示你或是其他人對整個頻道大聲疾呼。	ÿc0白色文字ÿc4表示你或是其他人對整個頻道的大聲呼喊。
699	ÿc2綠色文字ÿc4表示你已經對特定的人士進行「耳語」的動作，或是有其他人在這個頻道中發送「耳語」動作的的訊息給你。	ÿc2綠色文字ÿc4表示你對特定對象發送的悄悄話密語，或是其他人在這個頻道中對你發送的密語。
701	ÿc1紅色文字ÿc4代表從battle.net發送過來的錯誤訊息。	ÿc1紅色文字ÿc4代表直接來自 Battle.net 所發送的錯誤訊息。
704	創造	創建
705	讓你製作一場新的遊戲，等其他玩者來加入。在下面有好幾個選項，可以讓你設定這一場遊戲的型態。	讓你創建一場新的遊戲，讓其他玩家來加入。下方有好幾個選項，可以隨你的偏好調整這一場遊戲的設定。
706	遊戲名稱：是你這場遊戲顯示在Join Game（加入遊戲）畫面中的名字。你可以用特別的編碼或是加上敘述，不過有些特定的文字或是名稱禁止使用。	遊戲名稱：是你這場遊戲顯示在「加入遊戲」畫面中的名字。你可以自由使用清楚明白的敘述或是神秘的暗號，不過有些特定的文字或是名稱禁止使用。
707	密碼：讓你可以把這場遊戲設定純私人性。其他想要加入的玩者得輸入你所設定的密碼。	密碼：讓你可以把這場遊戲設定純私人性質。其他想要加入的玩家得輸入你所設定的密碼。
708	遊戲說明：讓你表述這一場遊戲的狀況。這個地方用來召集某種特定的玩者或是你正在找的人群時十分有用。	遊戲說明：讓你說明或介紹你所創建的這一場遊戲。用來召集某種特定的角色或玩家時十分有用。
709	人數上限：限制了這一場遊戲能夠參與的最多人數。預設值是4或8；你可以變更玩者的人數，最多八人-只要點選對話盒右側的上下箭號就行了。	人數上限：限制這一場遊戲能夠參與的最多人數。預設是 4 人，但你可以點選旁邊的上下箭頭調整人數，最多為 8 人。
710	人物差別：設定了你的人物和其他欲加入人物在等級上面的差距。預設的數值是4，你也可以把這項等級的限制取消。	等級差距：限定你的角色和其他欲加入角色在等級上面的差距。預設的數值是 4，但你也可以把這項等級的限制取消。
711	要把等級限制取消，點選一下這個項目旁邊的勾勾。顯示出來的數字4是用來告訴其他玩者，想要加入這一場遊戲，他所選用的人物等級不能和你的人物差到四級以上。你可以點選對話盒右側的上下箭號，來變更等級限制的數字。	要把等級限制取消，點選一下這個項目旁邊的勾勾。顯示出來的數字 4 是用來告訴其他玩家，所選用的角色不能和你的角色等級差到四級以上，才能加入這一場遊戲。你可以點選右側的上下箭頭來變更等級限制的數字。
712	一般來說，惡夢和地獄的設定影響到你能夠進行的遊戲困難度。預設數值為普通，人物必須符合特定的條件，才能創造一個惡夢和地獄等級的遊戲。除非你符合了這些條件，否則你無法選擇這個項目。	普通、惡夢和地獄等選項則是設定遊戲的困難度，預設選項為普通。角色必須符合特定的條件，才能創造惡夢和地獄難度的遊戲。除非符合條件，否則你無法選擇這些項目。
714	讓你加入一場既存的遊戲。列在這個畫面中的遊戲是公開的，而且隨時都可以讓其他玩者加入。	讓你加入一場既存的遊戲。列在這個畫面中的遊戲是公開的，而且只要它還有空間，隨時都可以讓其他玩家加入。
715	從這個列表選擇遊戲，會顯示出這場遊戲的相關資訊，包括參加的人物、目前所在的章節以及遊戲開始多久的時間了。要加入一場私人性的遊戲，你得輸入這一場遊戲的名稱，以及它所指定的密碼。	從這個列表選擇遊戲，會顯示出這場遊戲的相關資訊，包括參加的角色、目前所在的章節以及遊戲已開始多久的時間。如要加入一場私人的遊戲，你得輸入該場遊戲的名稱，以及它所設定的密碼。
717	讓你加入一個既存的交談頻道，或是自己開創一個全新的頻道。要進入一個別人開好的公敗頻道，選擇頻道列表並點選OK按鈕。要進入一個私人的頻道，你必須輸入一個你想進入的頻道名稱。	加入一個既存的聊天頻道，或是自己創建一個全新的頻道。要進入別人創建的公開頻道，在頻道列表選擇並點選「確定」按鈕。如要進入私人頻道，你必須輸入你想進入的頻道名稱。
718	如果你想開創一個自己的頻道，在頻道名稱的欄位中輸入這個頻道的名字。如果這個頻道目前不存在，新頻道就會自動開創。	若要創建一個自己的頻道，在頻道名稱的欄位中輸入頻道的名字。如果這個頻道目前不存在，新頻道就會自動創建。
720	可以讓你查看人物目前在暗黑破壞神II的天梯遊戲中，排行多少。	查看你的角色在其伺服器的天梯遊戲排名。
721	標準天梯會列出前100名的玩者，以他們的經驗點數來排名。預設的顯示方式是顯示所有職業的排行，但是你可以點選職業排序的選項，看到不同的排行表。	「標準天梯」依照經驗值多寡列出最頂尖的角色。預設為顯示整體排名，但你也可以點選「職業」選項來檢視各職業的排名。
722	高手天梯會列出前100位高手級的人物，以他們的經驗點數來排名。預設的顯示方式是顯示所有職業的排行，但是你可以點選職業排序的選項，看到不同的排行表。	「專家級天梯」依照經驗值多寡列出最頂尖的專家級角色。預設為顯示整體排名，你也可以點選「職業」選項來檢視各職業的排名。
723	結束：可以關掉Battle.net的交談介面，並回到人物選擇的畫面中。雖然你仍然連在Battle.net上，但是你無法交談或是開創遊戲-直到你選擇了一個人物為止。	退出：關掉 Battle.net 聊天介面，回到角色選擇的畫面。雖然你仍然連在Battle.net，但是你無法交談或是創建遊戲，必須先選擇一個角色才能開始止。
