id	Key	old	new
3632	gemeffect1	"頭盔：增加力量
護盾：提昇護盾的防禦等級
武器：增加準確率
"	"頭盔：提高力量
盾牌：提高盾牌的防禦
武器：提高準確率
"
3633	gemeffect2	"頭盔：增加法力上限
護盾：增加抗冰冷能力
武器：攻擊時附加冰寒傷害"	"頭盔：提高法力上限
護盾：提高冰寒抗性
武器：攻擊附加冰寒傷害"
3634	gemeffect3	"頭盔：增加敏捷
護盾：增加對抗毒能力
武器：攻擊時附加毒素傷害
"	"頭盔：提高敏捷
護盾：提高毒素抗性
武器：攻擊附加毒素傷害
"
3635	gemeffect4	"頭盔：增加生命上限
護盾：增加對抗火能力
武器：攻擊時附加火焰傷害
"	"頭盔：提高生命上限
護盾：提高火焰抗性
武器：攻擊附加火焰傷害
"
3636	gemeffect5	"頭盔：增加準確率
護盾：增加對所有傷害的抗性
武器：對不死生物具有額外傷害
"	"頭盔：提高準確率
護盾：提高所有抗性
武器：提高對不死怪物的傷害"
3637	gemeffect6	"頭盔：增加找到魔法物品的機率
護盾：增加抗電擊能力
武器：攻擊時附加閃電傷害
"	"頭盔：提高魔法物品尋獲機率
護盾：提高電擊抗性
武器：攻擊附加電擊傷害
"
3638	gemeffect7	"頭盔：增加法力和生命的回復速度
護盾：增加攻擊者受傷特性
武器：增加從攻擊者身上偷取法力和生命的特性
"	"頭盔：提高法力和生命恢復率
護盾：提高攻擊者反傷
武器：攻擊附加法力和生命竊取
"
11076	GemXp4	裝甲：	護甲：
21265	GemeffectX11	增加力量	提高力量
21266	GemeffectX12	增加防禦力	提高防禦
21267	GemeffectX13	增加準確率	提高準確率
21268	GemeffectX21	增加法力上限	提高法力上限
21269	GemeffectX22	增加抗冰冷能力	提高冰寒抗性
21270	GemeffectX23	攻擊時增加冰寒傷害	攻擊附加冰寒傷害
21271	GemeffectX31	增加靈敏度	提高敏捷
21272	GemeffectX32	增加抗毒能力	提高毒素抗性
21273	GemeffectX33	攻擊時增加毒素傷害	攻擊附加毒素傷害
21274	GemeffectX41	增加生命上限	提高生命上限
21275	GemeffectX42	增加抗火能力	提高火焰抗性
21276	GemeffectX43	攻擊時增加火焰傷害	攻擊附加火焰傷害
21277	GemeffectX51	增加準確率	提高準確率
21278	GemeffectX52	增加所有抗性	提高所有抗性
21279	GemeffectX53	對付不死系生物時會增加傷害	提高對不死怪物的傷害
21280	GemeffectX61	增加找到魔法物品的機率	提高魔法物品尋獲機率
21281	GemeffectX62	增加抗電擊能力	提高電擊抗性
21282	GemeffectX63	攻擊時增加閃電傷害	攻擊附加電擊傷害
21283	GemeffectX71	增加法力和生命的回復速度	提高法力和生命恢復率
21284	GemeffectX72	攻擊者反受傷害	提高攻擊者反傷
21285	GemeffectX73	攻擊時增加偷取法力和生命	攻擊附加法力和生命竊取
