id	Key	old	new
3453	Socketable	有凹槽 (%i)	鑲孔（%i）
3455	ItemStats1b	未辨視	尚未鑑定
3457	ItemStats1d	耐久度: %i 之 %i	耐久度：%i / %i
3458	ItemStats1e	需要的力量點數： %d	需要力量：%d
3459	ItemStats1f	需要的敏捷點數： %d	需要敏捷：%d
3461	ItemStats1h	防禦： %d	防禦：%d
3462	ItemStats1i	數量： %d	數量：%d / %d
3463	ItemStats1j	之	/
3464	ItemStast1k	到	至
3465	ItemStats1l	單手傷害： %d 到 %d	單手傷害：%d - %d 點
3466	ItemStats1m	雙手傷害： %d 到 %d	雙手傷害：%d - %d 點
3467	ItemStats1n	投擲傷害：%d	投擲傷害：%d 點
3468	ItemStats1o	重擊傷害： %d 到 %d	重擊傷害：%d - %d 點
3469	ItemStats1p	需要等級： %d	需要等級：%d
3470	ItemStats1q	點數： %d	點數：%d
3471	ItemStatsrejuv1	回復%d%%的生命和法力	恢復 %d%% 的生命和法力
3472	ItemStatsrejuv2	回復100%的生命和法力	恢復 100% 的生命和法力
3475	ModStr1c	%+d 體力	%+d 體能
3476	ModStr1d	%+d 精力	%+d 能量
3478	ModStr1f	%+d 最大傷害值	%+d 最大傷害
3479	ModStr1g	%+d 最小傷害值	%+d 最小傷害
3484	ModStr1l	閃電抗性 %+d%%	電擊抗性 %+d%%
3485	ModStr1m	抗魔法 %+d%%	魔法抗性 %+d%%
3489	ModStr1q	%+d 閃電傷害最大值	%+d 電擊傷害最大值
3490	ModStr1r	%+d 閃電傷害最小值	%+d 電擊傷害最小值
3494	ModStr1v	攻擊者受到傷害 %d	攻擊者反傷：%d
3501	ModStr2c	體力靈藥	體能靈藥
3504	ModStr2f	每秒持久性	持續秒數
3505	ModStr2g	增加生命上限 %d%%	生命上限提高 %d%%
3506	ModStr2h	增加法力上限 %d%%	法力上限提高 %d%%
3507	ModStr2i	增加耐久性上限 %d%%	耐久度上限提高 %d%%
3508	ModStr2j	%+d%% 增加傷害上限	%+d%% 最大傷害強化
3509	ModStr2k	%+d%% 增加傷害底限	%+d%% 最小傷害強化
3511	ModStr2m	法力補滿	回復法力
3512	ModStr2n	醫治1/4生命	醫治 1/4 生命
3513	ModStr2o	醫治1/2生命	醫治 1/2 生命
3515	ModStr2q	回復 1/4法力	回復 1/4 法力
3516	ModStr2r	回復1/2法力	回復 1/2 生命
3518	ModStr2t	魔法傷害減少 %d	魔法傷害降低 %d
