id	Key	old	new
1723	Low Quality	劣質的	劣等的
1725	Cracked	破碎的	破舊的
1727	Hiquality	超強的	特等的
1728	Gemmed	鑲上寶石的	鑲嵌寶石的
1729	Resiliant	精力充沛之	強韌
1730	Sturdy	結實之	堅實
1731	Strong	強壯之	強固
1732	Glorious	光榮之	光榮
1733	Blessed	祝福之	祝福
1734	Saintly	崇高之	崇高
1735	Holy	神聖之	神聖
1736	Devious	迂迴之	迂迴
1737	Fortified	防禦強化之	強化
1738	Urgent	緊急之	緊急
1739	Fleet	快捷之	快捷
1740	Muscular	強力之	壯碩
1741	Jagged	鋸齒之	鋸齒
1742	Deadly	致命之	奪命
1743	Vicious	惡毒之	兇惡
1744	Brutal	殘忍之	殘暴
1745	Massive	穩重之	重創
1746	Savage	野蠻之	蠻烈
1747	Merciless	絕情之	絕憫
1748	Vulpine	奸詐之	奸詐
1749	Swift	迅速之	迅疾
1750	Artful	機敏之	取巧
1752	Adroit	機敏之	巧捷
1753	Tireless	不倦之	不倦
1754	Rugged	凹凸之	粗獷
1755	Bronze	青銅之	青銅
1756	Iron	鐵之	生鐵
1757	Steel	鋼之	鋼鐵
1758	Silver	銀之	白銀
1759	Gold	金之	黃金
1760	Platinum	白金之	白金
1761	Meteoric	隕鐵之	隕鐵
1762	Sharp	尖銳之	銳利
1763	Fine	精良之	良質
1764	Warrior's	戰士之	戰士
1765	Soldier's	士兵之	士兵
1766	Knight's	騎士之	騎士
1767	Lord's	君王之	領主
1768	King's	國王之	王者
1769	Howling	咆哮之	嘶嚎
1770	Fortuitous	偶然之	巧運
1771	Brilliant	明亮之	聰穎
1772	Omniscient	全知之	全知
1773	Sage	賢人之	聖明
1774	Shrewd	敏銳之	精明
1775	Vivid	生動之	生動
1776	Glimmering	微光之	微光
1777	Glowing	發光之	光亮
1778	Bright	光明之	明亮
1779	Solar	太陽之	太陽
1780	Lizard's	蜥蜴之	蜥蜴
1781	Forceful	強力之	強力
1782	Snake's	蛇之	盤蛇
1783	Serpent's	海蛇之	蛟龍
1784	Drake's	德爾克之	飛龍
1785	Dragon's	龍之	巨龍
1786	Wyrm's	維特之	古龍
1787	Dazzling	眩惑之	眩惑
1788	Facinating	醉人之	迷戀
1789	Prismatic	稜鏡之	光繽
1790	Azure	天青之	碧藍
1791	Lapis	天藍之	天藍
1792	Cobalt	鈷之	鈷藍
1793	Indigo	靛青之	靛青
1794	Sapphire	蔚藍之	寶藍
1795	Cerulean	天藍之	天藍
1796	Red	紅之	赤紅
1797	Crimson	棗紅之	緋紅
1798	Burgundy	紅棕之	酒紅
1799	Garnet	深紅之	深紅
1800	Russet	赤褐之	赭紅
1801	Ruby	紅寶石之	寶紅
1802	Vermilion	朱砂之	朱紅
1803	Orange	橙之	橙橘
