id	Key	old	new
1751	Skillful	熟練之	熟練
1930	cap	帽子	便帽
1931	skp	骷髏帽	顱帽
1933	fhl	高級頭盔	全罩盔
1934	ghm	卓越頭盔	重盔
1935	crn	皇冠	王冠
1937	qui	布甲	棉布甲
1938	lea	皮甲	皮革甲
1940	stu	鑲嵌甲	鑲釘皮甲
1941	rng	鎖環甲	環甲
1943	chn	鎖子甲	鎖鍊甲
1944	brs	胸甲	胸鎧
1947	fld	實戰鎧甲	野戰鎧甲
1948	gth	哥德戰甲	哥德鎧甲
1949	ful	高級戰甲	全身鎧甲
1950	aar	古代裝甲	上古鎧甲
1951	ltp	輕型裝甲	輕型鎧甲
1952	buc	圓盾	小圓盾
1953	sml	小盾牌	小型盾
1954	lrg	大盾牌	大型盾
1955	kit	輕盾	鳶盾
1957	gts	哥德盾牌	哥德盾
1958	lgl	皮手套	皮革手套
1959	vgl	重手套	厚皮手套
1960	mgl	鎖鍊手套	鍊甲手套
1961	tgl	輕型鐵手套	輕型護手
1962	hgl	鐵手套	鋼鐵護手
1966	tbt	輕型金屬靴	輕鎧靴
1968	lbl	飾帶	束帶
1969	vbl	輕扣帶	輕腰帶
1970	mbl	扣帶	腰帶
1971	tbl	重扣帶	厚腰帶
1972	hbl	金屬扣帶	鎧甲腰帶
1973	bhm	白骨頭盔	骸骨頭盔
1974	bsh	白骨盾牌	骨盾
1975	spk	尖刺盾牌	尖刺盾
1979	mpi	軍用鍬	軍用鎬
1980	wax	巨戰斧	征戰斧
1981	lax	巨斧	重斧
1983	btx	戰鬥斧	戰斧
1984	gax	卓越之斧	巨斧
1985	gix	大斧	巨人斧
1986	wnd	法杖	魔杖
1987	ywn	紫杉之杖	紫杉魔杖
1988	bwn	骨杖	骸骨魔杖
1989	gwn	殘酷之杖	陰森魔杖
1990	clb	木棒	短棒
1992	gsc	雄偉權杖	莊嚴權杖
1993	wsp	巨戰權杖	征戰權杖
1995	mac	釘頭錘	釘鎚
1996	mst	流星鎚	釘頭鎚
1998	whm	巨戰鐵鎚	戰鎚
1999	mau	大木棍	重鎚
2000	gma	卓越巨棍	巨型重鎚
2004	flc	彎形大刀	彎刃大刀
2008	wsd	巨戰之劍	征戰劍
2010	clm	雙刃大刀	闊刃大劍
2012	bsw	巨劍	重劍
2013	flb	雙手飾劍	焰形劍
2014	gsd	卓越之劍	巨劍
2017	kri	波形刀	波刃匕首
2018	bld	短刀	利刃匕首
2021	bkf	平衡小刀	平衡飛刀
