id	Key	old	new
10902	r16	符文：破	符文：埃歐
10903	r16L	破	埃歐
10910	Runeword22	迪勒瑞姆	精神錯亂
20507	Runeword1	古代人的契約	先祖之契
20512	Runeword6	黑色	黑錘
20513	Runeword7	血腥	鮮血
20514	Runeword8	白骨	骸骨
20515	Runeword9	野薔薇	刺藤
20516	Runeword10	品牌	烙印
20518	Runeword12	破碎的誓言	破碎誓言
20522	Runeword16	沌頓	混沌
20525	Runeword19	白天	白晝
20530	Runeword24	失望	絕望
20546	Runeword40	火焰	閃爍火焰
20548	Runeword42	幸運	機運
20558	Runeword52	天堂的意識	天堂意志
20562	Runeword56	復仇	報復
20565	Runeword59	冰凍	寒冰
20567	Runeword61	純潔	純真
20568	Runeword62	眼光	靈光
20573	Runeword67	騎士的警戒	騎士守望
20574	Runeword68	知識	學識
20575	Runeword69	最後希望	最後遺願
20576	Runeword70	法律	律法
20590	Runeword85	早晨	清晨
20594	Runeword89	天然的王國	自然王國
20599	Runeword94	著魔	執念
20601	Runeword96	忍耐	耐心
20602	Runeword97	啪噠	圖紋
20604	Runeword99	思考之聲	理性之聲
20615	Runeword110	原理	原則
20616	Runeword111	戰鬥中的勇氣	勇戰之力
20617	Runeword112	謹重	謹慎
20625	Runeword120	押韻	聲韻
20626	Runeword121	裂縫	裂隙
20628	Runeword123	奇遇	機緣
20629	Runeword124	影子	暗影
20632	Runeword127	賽連之歌	賽蓮之歌
20641	Runeword136	刺傷	螫刺
20648	Runeword143	飢餓	飢渴
20650	Runeword145	雷電	雷霆
20655	Runeword150	真實	真理
20656	Runeword151	堅定意志	不屈意志
20659	Runeword154	毒牙	劇毒
20662	Runeword157	虛無之	虛無
20667	Runeword162	白色	蒼白
