id	Key	old	new
1031	merca213	吉爾薩	古爾薩
1034	merca216	迪爾卡	杜爾加
1036	merca218	衣利森	伊爾森
1040	merca222	喬安妮	賈拉尼
3411	merc01	阿里撒	艾莉薩
3412	merc02	安普利沙	安普利莎
3414	merc04	艾伯海亞	艾伯海雅
3415	merc05	埃利	艾莉
3416	merc06	派吉	佩吉
3417	merc07	巴森提	巴森媞
3418	merc08	布萊謝	布萊絲
3421	merc11	肯吉	昆德莉
3423	merc13	維沙利亞	維莎莉亞
3426	merc16	菲歐娜	費歐娜
3427	merc17	基溫尼	吉溫妮
3428	merc18	蓋爾	蓋兒
3432	merc22	迪亞娜	黛安
3433	merc23	依索迪	依索德
3436	merc26	衣東亞	伊東亞
3437	merc27	萊茵	雷伊妮
3439	merc29	馬哈拉	瑪哈拉
3440	merc30	萊沙	莉莎
3446	merc36	萊紗	萊莎
3447	merc37	莎倫	夏琳
10835	MercX101	伐德哈卡	伐拉亞
10844	MercX110	海波加	赫羅加
10845	MercX111	海爾干特	海爾甘特
10846	MercX112	海加力克	海格拉克
10848	MercX114	波丹	波赫丹
10849	MercX115	伍夫加	沃夫加
10855	MercX121	席格龐特	希格門德
10861	MercX127	高斯里夫	高斯拉夫
10864	MercX130	加門得	加門德
10865	MercX131	菲瓦夫	拉恩斯
10866	MercX132	艾得格理斯	艾德格理斯
10867	MercX133	奧蕾那	奧尼拉
10869	MercX135	艾弗	崔尼爾斯
10870	MercX136	沃斯坦	克拉爾
10871	MercX137	沃夫	沃爾夫
10872	MercX138	布溫	布爾溫
10879	MercX145	猶瑟	烏瑟爾
10885	MercX151	艾拉瑞克	艾勒瑞克
10886	MercX152	愛瑟瑞得	愛瑟瑞德
10892	MercX158	席古德	希格爾德
