id	Key	old	new
1067	The Feature Creep	海法斯特盔甲製作者	護甲鍛造師海法斯特
1235	nodarkwanderer	遊戲中不行	Not in Game
2286	GhoulRI	食屍鬼之	食屍鬼
2349	crusher	壓碎者	粉碎者
2463	scarab	聖甲蟲	惡魔甲蟲
2850	The Cow King	母牛之王	牛王
2851	Grand Vizier of Chaos	雄偉的混沌大臣	混沌首相
2852	Lord De Seis	西希之王	迪塞斯勳爵
2855	Taintbreeder	污染的飼育者	汙染飼育者
2856	The Tormentor	痛苦之人	折磨者
2857	Winged Death	死亡之翼	黑暗之翼
2858	Maffer Dragonhand	龍手-馬弗	龍手馬弗
2859	Wyand Voidfinger	空虛之指-維恩	虛空指維恩
2860	Toorc Icefist	冰拳-托克	冰拳托克
2861	Bremm Sparkfist	火花之拳-布瑞姆	電光拳布瑞姆
2862	Geleb Flamefinger	火焰之指-吉列布	火焰指吉列布
2863	Ismail Vilehand	邪惡之手-伊斯梅爾	邪之手伊斯梅爾
2864	Icehawk Riftwing	裂縫之翼-冰鷹	裂隙之翼冰鷹
2865	Sarina the Battlemaid	戰場處子-沙利娜	戰場女傑莎莉娜
2867	Witch Doctor Endugu	古巫醫-印都	巫醫印都古
2868	Web Mage the Burning	燃燒者-韋布	灼熱的斯札克
2871	Coldcrow	冰冷鳥鴉	冰烏鴉
2874	Griswold	格里斯瓦得	格里斯瓦德
2876	Pitspawn Fouldog	洞穴重生的邪惡之犬	獄淵惡犬
2877	Flamespike the Crawler	爬行者-火釘	爬行者火釘
2882	Beetleburst	爆開的甲蟲	爆蟲
2883	Leatherarm	爬行的容貌	蔓延症狀
2884	Coldworm the Burrower	鑽地的冰蟲	冰蟲鑽地者
2887	The Summoner	召喚者	召喚師
2888	Ancient Kaa the Soulless	古代無魂之卡	遠古無魂者卡厄
2897	Rogue	蘿格	俠盜
2898	StygianDoll	冥河娃娃	冥河鬼娃
2900	Flayer	剝皮者	剝皮手
2901	Fetish	小矮人	鬼娃
2903	Undead StygianDoll	不死冥河娃娃	不死冥河鬼娃
2905	Undead Flayer	不死剝皮者	不死剝皮手
2906	Undead Fetish	不死小矮人	不死鬼娃
2908	DarkFamiliar	黑暗熟視者	黑暗魔寵
2909	BloodDiver	鮮血潛鳥	鮮血俯衝者
2912	Banished	受放逐者	放逐者
2913	BloodLord	鮮血之王	鮮血鬼爵
2914	DarkLord	黑暗之王	黑暗鬼爵
2915	NightLord	黑夜之王	暗夜鬼爵
2916	GhoulLord	食屍鬼之王	食屍鬼爵
2917	Spikefist	釘拳魔	釘拳木魔
2918	Thrasher	打穀魔	笞擊木魔
2919	BrambleHulk	灌木魔	刺藤木魔
2920	ThornedHulk	刺木魔	荊棘木魔
2921	SpiderMagus	蜘蛛魔法師	法毒蜘蛛
2923	PoisonSpinner	毒氣旋轉者	劇毒紡織者
2924	SandFisher	沙漠釣者	沙漠釣蛛
2925	Arach	奧拉克	巨大蜘蛛
2926	BloodWing	血翼	血翅蚊
2927	BloodHook	血鉤	血鉤蚊
2928	Feeder	餵食者	餵血蚊
2929	Sucker	吸食者	吸血蚊
2930	WingedNightmare	有翼惡夢	飛翼夢魘
2932	UndeadScavenger	不死腐食者	不死食腐鳥
2933	CarrionBird	腐食鳥	食腐鳥
2934	Unraveler	解答者	解繃者
2937	Horadrim Ancient	古代赫拉迪姆	赫拉迪姆古屍
2938	AlbinoRoach	白骨聖甲蟲	骸骨甲蟲
2939	SteelWeevil	鋼鐵聖甲蟲	鋼鐵甲蟲
2940	Scarab	聖甲蟲	惡魔甲蟲
2942	DungSoldier	水肥戰士	蜣螂兵蟲
2943	HellSwarm	地獄群蟲	地獄蟲群
2946	Itchies	渴望者	刺螫蟲群
2947	HellCat	地獄貓	地獄拉庫尼
2948	NightTiger	夜行老虎	暗夜拉庫尼
2949	SaberCat	劍齒貓	拉庫尼
2950	Huntress	女獵人	女獵手
2953	CaveLeaper	洞穴跳躍者	洞穴躍行魔
2954	TombCreeper	古墓爬蟲	古墓爬跳者
2955	SandLeaper	沙地跳躍者	沙漠躍行魔
2956	TombViper	古墓腹蛇	古墓蛇魔
2957	PitViper	洞窟腹蛇	地穴蛇魔
2958	Salamander	蠑螈蛇怪	火蜥蛇魔
2959	ClawViper	利爪腹蛇	利爪蛇魔
2960	SerpentMagus	法蛇法師	蛇魔法師
2962	GiantLamprey	巨大八目蟲	吸血巨蟲
2964	RockWorm	石蟲	鑽岩蛆蟲
2965	SandMaggot	沙蟲	沙漠蛆蟲
2967	RazorSpine	剃刀山脊怪	刃脊獸
2968	ThornBeast	有刺野獸	荊棘獸
2969	SpikeFiend	長釘惡魔	釘刺魔
2970	QuillRat	硬毛老鼠	針刺鼠
2971	HellClan	地獄一族	冥府羊頭人
2972	MoonClan	月亮一族	月族羊頭人
2973	NightClan	黑夜一族	夜族羊頭人
2974	DeathClan	死亡一族	死族羊頭人
2975	BloodClan	血腥一族	血族羊頭人
2977	DoomApe	毀滅猴怪	毀滅猿怪
2978	JungleHunter	叢林獵人	叢林獵手
2979	RockDweller	石地居民	石居猿
2980	DuneBeast	沙丘野獸	沙丘猿獸
2982	BlackRogue	黑色蘿格	黑色俠盜
2984	VileHunter	邪惡獵人	兇邪獵手
2986	DarkShape	黑暗身影	幽影
2988	Specter	妖魂	亡靈
2991	Assailant	攻擊者	襲擊者
2992	Infidel	異教徒	異信者
2995	SandRaider	沙地騎士	沙漠劫掠者
2996	GargantuanBeast	巨大野獸	巨獸毛怪
2997	WailingBeast	哀泣之獸	尖嘯毛怪
2998	Yeti	雅提	雪怪
2999	Crusher	壓碎者	碎拳毛怪
3000	Brute	禽獸	兇蠻毛怪
3001	CloudStalker	煙霧偷襲者	雲襲血鷹
3003	BlackRaptor	黑色開膛手	黑色猛禽
3005	FoulCrow	惡臭烏鴉	惡毒穢鴉
3006	PlagueBearer	瘟疫散佈者	瘟疫散布者
3010	Zombie	僵屍	殭屍
3012	Horror	恐怖白骨	恐骨骷髏
3013	Returned	復活的怪物	返世亡靈
3014	BurningDead	燃燒死屍	烈焰骷髏
3015	BoneWarrior	白骨戰士	骸骨戰士
3016	Damned	詛咒怪	詛咒魔汙怪
3017	Disfigured	醜陋怪	醜惡魔汙怪
3018	Misshapen	殘廢怪	畸形魔汙怪
3019	Tainted	污染怪	魔汙怪
3020	Afflicted	苦難怪	災劫魔汙怪
3034	Cadaver	解剖死屍怪	活屍木乃伊
3035	PreservedDead	不朽死屍怪	長存木乃伊
3036	Embalmed	防腐屍怪	防腐木乃伊
3037	DriedCorpse	乾屍	乾屍木乃伊
3038	Decayed	腐屍	腐屍木乃伊
3039	Urdar	烏達爾獸	烏爾達巨怪
3041	Gorbelly	血腹獸	血腹巨怪
3042	Blunderbore	大笨獸	蠻力巨怪
3043	WorldKillerYoung	血蛆幼生	鮮血蛆蟲幼體
3044	GiantLampreyYoung	巨型八目蟲幼生	吸血巨蟲幼體
3045	DevourerYoung	吞噬者幼生	吞噬者幼體
3046	RockWormYoung	石蟲幼生	鑽岩蛆蟲幼體
3047	SandMaggotYoung	沙蟲幼生	沙漠蛆蟲幼體
3048	WorldKillerEgg	血蛆之蛋	鮮血蛆蟲之卵
3049	GiantLampreyEgg	巨型八目蟲之蛋	吸血巨蟲之卵
3050	DevourerEgg	吞噬者之蛋	吞噬者之卵
3051	RockWormEgg	石蟲之蛋	鑽岩蛆蟲之卵
3052	SandMaggotEgg	沙蟲之蛋	沙漠蛆蟲之卵
3056	FlyingScimitar	飛空彎刀	鬼靈彎刀
3057	CloudStalkerNest	煙霧偷襲者之巢	雲襲血鷹之巢
3058	BlackVultureNest	黑色開膛手之巢	黑色猛禽之巢
3059	FoulCrowNest	邪惡烏鴉之巢	惡毒穢鴉之巢
3060	Diablo	暗黑破壞神	迪亞布羅
3065	Sexton	教堂司事	司事
3066	Zealot	狂戰士	狂熱信徒
3067	Faithful	忠誠信使	忠誠信徒
3068	Zakarumite	撒卡蘭姆	撒卡蘭姆信徒
3069	BlackSoul	黑色靈魂	黑魂鬼火
3070	BurningSoul	燃燒的靈魂	燃魂鬼火
3071	SwampGhost	沼澤的鬼魂	沼澤鬼魂
3072	Gloam	薄暮之魂	薄暮鬼火
3073	WarpedShaman	傳送巫師	扭曲薩滿
3074	DarkShaman	黑暗巫師	暗黑薩滿
3075	DevilkinShaman	小惡魔巫師	魔妖薩滿
3076	CarverShaman	利刃巫師	刨肉薩滿
3077	FallenShaman	沈淪巫師	沉淪魔薩滿
3078	WarpedFallen	傳送魔	扭曲沉淪魔
3079	DarkOne	黑暗魔	暗黑沉淪魔
3080	Devilkin	小惡魔	魔妖沉淪魔
3081	Carver	利刃魔	刨肉沉淪魔
3082	Fallen	沈淪魔	沉淪魔
