id	Key	old	new
2197	orifice	開口	插槽
3223	Lever1	拉柄	拉桿
3224	BarrelEx	爆炸木桶	爆炸桶
3228	BlockedDoor	阻擋的門	堵住的門
3230	StoneAlpha	石塚	石柱
3231	StoneBeta	石塚	石柱
3232	StoneDelta	石塚	石柱
3233	StoneGamma	石塚	石柱
3234	StoneLambda	石塚	石柱
3235	StoneTheta	石塚	石柱
3237	Casket	棺材	石柩
3242	RogueCorpse	死掉的蘿格	死掉的俠盜
3243	CorpseOnStick	死掉的蘿格	死掉的俠盜
3247	ArmorStand	裝甲架	防具架
3250	Trap Door	陷阱門	暗門
3251	LargeUrn	大罈子	大甕
3252	CanopicJar	卡諾卜罐	臟器罈
3253	Obelisk	方尖石碑	方尖碑
3254	HoleAnim	不明的墓地	完好的墳墓
3256	Urn	罈	土甕
3264	templeshrine	神殿	聖壇
3266	coffin	棺木	棺柩
3271	hiding spot	隱藏的地點	藏匿處
3274	hidden stash	隱藏的儲物箱	隱藏的物品
3275	GuardCorpse	警衛的死屍	守衛的屍體
3287	cowa	母牛	乳牛
3288	manashrine	神殿	聖壇
3292	bank	你的私人儲藏箱	你的個人儲物箱
3294	holyshrine	聖殿	神聖祭壇
3300	compellingorb	強制球體	強制魔珠
3305	dead body	死亡屍體	屍體
3306	eunuch	去勢男子	閹人
3307	dead guard	死亡的警衛	死亡的守衛
3308	portal	傳送點	傳送門
3311	sewer lever	下水道拉柄	下水道拉桿
3313	magic shrine	魔法神殿	魔法祭壇
3315	stash	儲藏箱	儲物箱
3317	taintedsunaltar	墮落的太陽神壇	蔽日祭壇
3320	fissure	裂縫	裂隙
3321	BoneChest	放骨箱	骨箱
3322	casket	棺材	石柩
3326	Turret	砲塔	塔台
22523	burialchestL	埋藏的箱子	陪葬品
22524	burialchestR	埋藏的箱子	陪葬品
22526	Waypoint	小站	傳送平台
22532	burningbodies	血肉堆	屍骸火堆
22533	burningpit	燃燒的洞穴	燃燒的坑洞
22534	tribal flag	部落的旗子	部族的旗子
22537	chan	枝形吊燈	吊燈
22538	jar	瓶子	瓦罐
22539	jar2	瓶子	瓦罐
22540	jar3	瓶子	瓦罐
22541	swingingheads	擺動的頭	懸掛的屍骨
22546	banner1	標誌	戰旗
22547	banner2	標誌	戰旗
22549	pene	儲物箱	柵欄
22553	object1	隱藏的儲物箱	隱藏的物品
22554	magic shrine2	魔法神殿	魔法祭壇
22566	uncle f#%* comedy central(c)	莫	老莫
22568	icecaveshrine2	神殿	祭壇
22569	icecavejar4	瓶子	瓦罐
22570	icecavejar3	瓶子	瓦罐
22571	icecavejar2	瓶子	瓦罐
22572	icecavejar1	瓶子	瓦罐
22573	evilurn	邪氣之罐	邪甕
22576	Ldeathpole	死神之柱	死亡之柱
22577	deathpole	死神之柱	死亡之柱
22579	banner 2	標誌	戰旗
22580	banner 1	標誌	戰旗
22583	jar1	瓶子	瓦罐
22586	ecfra	火焰	營火
22588	healthshrine	生物神殿	生命聖壇
22591	object	隱藏的儲物箱	隱藏的物品
22594	pyox	火焰洞穴	火坑
22595	ptox	火炬洞穴	火炬坑
22596	Siege Control	圍城控制	圍城控制器
22597	mrjar	隱藏的儲物箱	隱藏的物品
22598	object2	隱藏的儲物箱	隱藏的物品
22599	mrbox	盒子	箱子
22607	candles	蠟燭	蠟蠋
22612	ancientsaltar	天堂的祭壇	天堂祭壇
22613	hiddenstash	隱藏的儲物箱	隱藏的物品
22616	earmorstandL	裝甲架	防具架
22617	earmorstandR	裝甲架	防具架
