id	Key	old	new
3122	FireGolem	火石魔	火焰魔像
3123	IronGolem	鐵石魔	鋼鐵魔像
3124	BloodGolem	血石魔	鮮血魔像
3125	ClayGolem	黏土石魔	黏土魔像
3180	Dopplezon	誘弭	替身
3214	monsteruniqueprop5	傳送	四處傳送
3325	Hydra	九頭蛇	多頭蛇
4186	skilldesc2	" 百分比"	%
4255	StrSkill3	法力耗費：%d	法力消耗：%d 點
4256	StrSkill4	傷害：%d-%d	傷害：%d - %d 點
4257	StrSkill5	火焰傷害：%d-%d	火焰傷害：%d - %d 點
4258	StrSkill6	冰寒傷害：%d-%d	冰寒傷害：%d - %d 點
4259	StrSkill7	閃電傷害：%d-%d	電擊傷害：%d - %d 點
4260	StrSkill8	毒素傷害：%d-%d	毒素傷害：%d - %d 點
4261	StrSkill9	%d箭	%d 箭
4262	StrSkill10	變動準確率：	準確率：
4265	StrSkill13	冰凍時間：%d秒	冰冷時間：%d 秒
4266	StrSkill14	中毒時間： 	中毒時效：
4267	StrSkill15	秒	" 秒"
4268	StrSkill16	秒	" 秒"
4270	StrSkill18	半徑：%d碼	範圍：%d 碼
4271	StrSkill19	方型範圍	" 格"
4275	StrSkill23	百分比	%
4278	StrSkill26	碼	" 碼"
4280	StrSkill28	%d牙	%d 道剔骨之牙
4281	StrSkill29	冰凍時間：%d秒	凍結時效：%d 秒
4285	StrSkill33	可以讓敵人變弱%d%%	削弱敵人 %d%%
4286	StrSkill34	法力耗費：%d每秒	法力消耗：每秒 %d 點
4288	StrSkill36	碼	" 碼"
4289	StrSkill37	受到傷害： %+d%%	受到的傷害：%+d%%
4290	StrSkill38	敵人的傷害： %+d%%	敵人造成的傷害：%+d%%
4291	StrSkill39	魔法傷害：%d-%d	魔法傷害：%d - %d 點
4292	StrSkill40	吸收%d傷害	吸收 %d 點傷害
4294	StrSkill42	生命：%d	生命值：%d
4295	StrSkill43	法師：加強投射傷害	法師：加強遠程傷害
4296	StrSkill44	%d骷髏總數	骷髏總數：%d
4299	StrSkill45	石魔等級：	魔像等級：
4300	StrSkill46	傷害：%d-%d%%的屍體生命	傷害：屍體生命的 %d - %d%%
4301	StrSkill47	%d%%本身受損	%d%% 自傷
4302	StrSkill48	昏迷時間：%d秒	昏迷時間：%d 秒
4303	StrSkill49	%的盾牌強度	% 的盾牌強度
4304	StrSkill50	治療：%d-%d	治療：%d - %d
4306	StrSkill52	冰寒抗性： %+d%%	冰寒抗性：%+d%%
4307	StrSkill53	閃電抗性：%+d%%	電擊抗性：%+d%%
4309	StrSkill55	%d%%的傷害會回彈	%d%% 傷害反彈
4310	StrSkill56	射程：%d碼	射程：%d 碼
4311	StrSkill57	目標的準確率： %+d%%	目標的準確率：%+d%%
4312	StrSkill58	敵人跑開%d碼	怪物逃竄最多 %d 碼
4314	StrSkill60	每個目標	" 每個目標"
4316	StrSkill62	冰凍%d秒	凍結 %d 秒
4318	StrSkill64	毒素傷害	" 毒素傷害"
4319	StrSkill65	損失耐久度機率：%d%%	耐久度毀損機率：%d%%
4320	StrSkill66	目標受到	目標受影響時效
4321	StrSkill67	長距離攻擊減慢到%d%%	遠程攻擊減慢至 %d%%
4323	StrSkill69	耐力回復率：%+d%%	精力恢復率：%+d%%
4324	StrSkill70	加速度： 	速度： 
4325	StrSkill71	耐力加成：	精力加成：
4326	StrSkill72	放出 %d  充能彈	放出 %d 枚電能彈
4327	StrSkill73	充能彈	" 枚電能彈"
4328	StrSkill74	持續時間減低為%d%%	持續時間降低 %d%%
4330	StrSkill76	破除中斷的機率%d%%	抵抗中斷的機率：%d%%
4331	StrSkill77	敵人減慢%d%%	敵人減慢 %d%%
4332	StrSkill78	剩餘的目標受到	成為目標持續
4333	StrSkill79	治療：%d%%的攻擊傷害	治療：攻擊傷害的 %d%%
4334	StrSkill80	轉換%d%%的傷害到生命	將 %d%% 傷害轉換為生命值
4335	StrSkill81	%的傷害到生命	% 的傷害到生命
4336	StrSkill82	火焰持續時間： %d秒	火焰持續時間：%d 秒
4337	StrSkill83	火焰爆炸傷害： %d-%d	火焰爆炸傷害：%d - %d 點
4338	StrSkill84	閃電球傷害： 	閃電槍傷害：
4339	StrSkill85	詛咒持續時間降低%d%%	詛咒持續時間降低 %d%%
4340	StrSkill86	攻擊上昇到%d目標	攻擊最多 %d 名目標
4341	StrSkill87	目標	" 名目標"
4342	StrSkill88	法力回復比率： %+d%%	法力回復速度：%+d%%
4343	StrSkill89	行走/跑步速度： %+d%%	跑步 / 行走速度：%+d%%
4345	StrSkill91	聖光彈的傷害： %d-%d	聖光彈傷害：%d - %d 點
4346	StrSkill92	法力用於每次還擊	每次擊退法力
4348	StrSkill95	骷髏：生命：%+d	骷髏 - 生命值：%+d
4349	StrSkill96	法師：生命：%+d	法師 - 生命值：%+d
4350	StrSkill97	怪物：生命：%+d%%	怪物 - 生命值：%+d%%
4352	StrSkill99	轉換的機率：%d%%	招降機率：%d%%
4353	StrSkill100	生命最大值：%+d%%	生命上限：%+d%%
4354	StrSkill101	法力最大值： %+d%%	法力上限：%+d%%
4355	StrSkill102	耐力最大值： %+d%%	精力上限：%+d%%
4356	StrSkill103	吸收%d%%的火焰傷害	吸收 %d%% 火焰傷害
4357	StrSkill104	怪物	個怪物
4358	StrSkill105	怪物群	個怪物
4359	StrSkill106	攻擊速度： %+d%%	攻擊速度：%+d%%
4360	StrSkill107	生命/法力回復： %d	生命 / 法力回復：%d
4361	StrSkill108	點	" 點"
4363	StrSkill110	成功格擋： %+d%%	成功格擋：%+d%%
4365	StrSkill112	刺針傷害	荊棘傷害
4366	StrSkill113	九頭蛇火焰傷害： %d-%d	多頭蛇火焰傷害：%d - %d 點
4368	StrSkill115	施展法術至少需要法力點數為： %d	施展法術的最低法力需求：%d
4369	StrSkill116	到達最高等級	已達到最高等級
4371	StrSkill118	你已經從一個物品中取得這項技能	有一個物品賦予你此技能
4372	StrSkill119	你還沒有學到這項技能	你尚未學到此技能
4374	skillsd0	一般攻擊	普通攻擊
4375	skillld0	一般攻擊	普通攻擊
4377	skillname1	腳踢	踢擊
4378	skillsd1	腳踢目標	踢擊目標
4379	skillld1	腳踢目標	踢擊目標
4380	skillan1	腳踢目標	踢擊目標
4386	skillsd3	釋放掉你所控制生物中，	釋放你召喚的生物
4387	skillld3	"放棄對它的控制
其中一位召喚生物"	釋放你所操控的一個生物
4390	skillsd4	丟出左手的物品	投擲左手的物品
4391	skillld4	丟出左手的物品	投擲左手的物品
4392	skillan4	左投擲	左手投擲
4393	skillname5	左手揮動	左手攻擊
4396	skillan5	左揮動	左手攻擊
4398	skillsd6	創造魔法箭	造出魔法箭矢
4399	skillld6	"創造魔法箭或魔法彈
造成額外的傷害"	造出魔法箭矢或弩箭，可造成額外的傷害
4402	skillsd7	讓箭矢附上火焰	箭矢會附上火焰
4403	skillld7	"讓箭矢或十字弓彈
附加魔法性火焰
一定擊中"	"以魔法火焰強化你的箭矢或弩箭
必定擊中"
4405	skillname8	內視	心靈視野
4406	skillsd8	照亮並削弱附近的怪物	顯現並削弱附近的怪物
4407	skillld8	"照亮附近的敵人
讓你和你的隊伍成員
更容易擊中目標"	顯現附近的敵人，讓你和隊伍成員更容易擊中目標
4408	skillan8	內視	心靈視野
4409	skillname9	致命攻擊	致命攻勢
4410	skillsd9	被動-有機會造成二倍的傷害	被動 - 有機率造成兩倍傷害
4411	skillld9	被動-你的攻擊可能對目標造成雙倍傷害	被動 - 你的攻擊有一定機率對目標造成兩倍傷害
4412	skillan9	致命攻擊	致命攻勢
4414	skillsd10	利用突刺性武器快速的戳刺	使用突刺武器快速的連擊
4415	skillld10	"使用鏢槍或是長矛類的武器
以快速的刺擊攻擊數下"	使用標槍或是長矛武器，快速連續刺擊敵人
4417	skillname11	冰箭	冷霜箭
4418	skillsd11	讓魔法強化的箭矢減慢目標的移動	箭矢會使目標緩速
4419	skillld11	"冰箭藉由在箭矢或十字弓彈上面附加魔法
可以增加冰寒傷害和減慢效果
並造成平時一半的傷害
一定擊中"	"以魔法強化你的箭矢或弩箭，附加冰寒傷害與緩速效果
冷霜箭只會造成平時一半的傷害
必定擊中"
4420	skillan11	冰箭	冷霜箭
4422	skillsd12	射出多重的箭矢	射出多重箭矢
4423	skillld12	"由一根分為數根魔法般
的飛箭或十字弓彈"	以魔法讓箭矢或弩箭一分為多
4425	skillname13	閃避	閃躲
4426	skillsd13	被動-閃避肉博戰中的攻擊	被動 - 閃避近戰攻擊
4427	skillld13	"被動-你有機會以站立不動的方式
在肉搏戰之中閃避攻擊"	被動 - 你在站立不動或攻擊時，有一定機率閃避近戰攻擊
4428	skillan13	閃避	閃躲
4429	skillname14	威力一擊	充能強擊
4430	skillsd14	附加閃電傷害	附加電擊傷害
4431	skillld14	"鏢槍和長矛之類的武器
可以附加閃電傷害"	使用標槍和長矛武器攻擊時附加電擊傷害
4432	skillan14	威力一擊	充能強擊
4433	skillname15	毒槍	劇毒標槍
4434	skillsd15	增加毒素傷害	附加毒素傷害
4435	skillld15	"你的鏢槍會魔法般的
留下毒氣雲霧"	以魔法強化你的標槍，射出後留下劇毒雲團
4436	skillan15	毒槍	劇毒標槍
4438	skillsd16	讓箭附加爆炸攻擊	箭矢會爆炸
4439	skillld16	"讓箭矢或十字弓彈會自行引爆
在接觸之後，炸傷附近的所有敵人
一定擊中"	"在箭矢或弩箭上附魔，使其擊中時爆炸，傷害所有附近的敵人
必定擊中"
4441	skillname17	慢速箭	緩箭術
4442	skillsd17	減弱一個敵人的長距離攻擊	減慢敵人的遠程攻擊
4443	skillld17	在這道光明之中的敵人，他們的長距離攻擊都會減慢	顯現附近的敵人，並減慢他們的遠程攻擊
4444	skillan17	慢速箭	緩箭術
4445	skillname18	躲避	閃身
4446	skillsd18	被動-躲避飛射武器	被動 - 閃躲遠程攻擊
4447	skillld18	"被動-有機會以站立不動的方式
躲開敵人的飛射武器"	被動 - 你在站立不動或攻擊時，有一定機率閃避遠程攻擊
4448	skillan18	躲避	閃身
4449	skillname19	刺爆	穿刺
4450	skillsd19	藉由武器變差，增加傷害力	犧牲武器耐久度來提高傷害
4451	skillld19	可以增加破壞力，但是武器的耐久度會迅速下降	提高攻擊傷害，但會使武器耐久度迅速下降
4452	skillan19	刺爆	穿刺
4453	skillname20	閃電球	閃電槍
4454	skillsd20	把丟出去的標槍變成閃電	投擲的標槍化作閃電
4455	skillld20	魔法般的把你的鏢槍變成一個閃電球	以魔法將你的標槍化為一道閃電
4456	skillan20	閃電球	閃電槍
4457	skillname21	急凍箭	寒冰箭
4458	skillsd21	讓箭上的魔法把敵人冰凍起來	箭矢會使敵人凍結
4459	skillld21	"魔法性的加強你的箭矢或是十字弓彈
把敵人冰凍
一定擊中"	"以魔法強化你的箭矢或弩箭，凍結你的敵人
必定擊中"
4460	skillan21	急凍箭	寒冰箭
4462	skillsd22	讓箭能夠自尋目標	箭矢會追蹤敵人
4463	skillld22	"可附加在你的箭矢或十字弓彈上
並追蹤你的目標
或是自行找尋目標"	強化你的箭矢或弩箭，使其追蹤你的目標或自行尋找敵人
4465	skillname23	刺入	精準攻勢
4466	skillsd23	被動-增加準確率	被動 - 提高準確率
4467	skillld23	被動-增加準確率	被動 - 提高你的準確率
