id	Key	old	new
1711	HiqualityFormat	%0 %1	%0%1
1712	LowqualityFormat	%0 %1	%0%1
1714	MagicFormat	%0 %2 %1	%2%0%1
1715	GemmedNormalName	%0 %1	%0%1
1718	RareFormat	%0 %1	%0%1
1720	ChampionFormat	%0 %1	%0%1
1721	Monster1Format	%0 %1	%0%1
1722	Monster2Format	%0 %2 %1	%2%0%1
1831	Strengthening	增強之	強化
2203	UseItem	點選滑鼠右鍵使用	點擊滑鼠右鍵使用
2204	OpenHoradricCube	點選滑鼠右鍵開啟	點擊滑鼠右鍵開啟
2205	ReadScroll	點選滑鼠右鍵閱讀	點擊滑鼠右鍵閱讀
2226	teleport pad	傳送台	傳送平台
2442	strap	皮帶	捆帶
3329	cost	花費：%d	費用：%d
3330	Repair	修復費用： %d	修復費用：%d
3331	Sell	出售價格： %d	出售價格：%d
3332	Identify	辨視價格：	鑑定費用：
3334	NPCMenuTradeRepair	交易/修理	交易 / 修理
3335	NPCPurchaseItems	買	購買
3336	NPCSellItems	賣	出售
3341	strUiMenu2	改變	轉化
3342	TransactionMenu1a	"     你的金幣： "	"     你的金幣："
3343	TransactionMenu1f	那一項物品要灌注力量？ 	要為哪一件物品灌注魔力？
3347	VerifyTransaction4	賣	出售
3348	VerifyTransaction5	買	購買
3350	VerifyTransaction7	辨視	鑑定
3352	VerifyTransaction9	這個傭兵會換掉前一位。	這位傭兵將會取代目前的傭兵。
3353	TransactionResults1	等候交易的確認...	等候交易確認…
3354	TransactionResults2	交易同步錯誤，請再次嚐試。	交易資料同步錯誤，請再試一次。
3355	TransactionResults3	偵測到無效物品，玩者自動排除。	偵測到無效物品。即將排除該玩家。
3358	TransactionResults6	這項物品剛剛交易掉了。	這件物品剛剛已交易掉了。
3359	TransactionResults7	你沒有足夠的空間存放金錢。	你沒有足夠的空間存放金幣。
3360	TransactionResults8	有些事指出你並非擁有該項物品。	那件物品似乎不是你的。
3362	TransactionResults10	你沒有足夠的金錢。	你沒有足夠的金幣。
3363	TransactionResults11	她現在無法過來，請等一會再試。	她現在無法過來，請稍後再試。
3364	ItemDesc1s	你的金錢： %d     雇用那個傭兵？ 	你的金幣：%d       要雇用哪個傭兵？
3365	ItemDesc1t	現在沒有可以雇用的傭兵。	現在沒有可雇用的傭兵。
3369	Cost	花費	費用
3370	Damage	傷害力	傷害
3372	strhirespecial2	冰箭	寒冰箭
3376	strhirespecial6	冷	冰寒
3377	strhirespecial7	火	火焰
3378	strhirespecial8	快速施展閃電	閃電，快速施展
3379	strhirespecial9	快速施展冰冷	冰寒，快速施展
3380	strhirespecial10	快速施展火焰	火焰，快速施展
3382	WarrivMenu1b	向東走	前往東方
3383	WarrivMenu1c	向西走	前往西方
3384	MeshifMenuEast	航向東邊	航向東方
3385	MeshifMenuWest	航向西邊	航向西方
3391	NPCMenuTalkMore	再說一點	更多詳情
3393	NPCTownMore1	城鎮人民	城鎮居民
3395	NPCGossipMenu	閒話	閒聊
3401	ok	好	確定
3406	strOptSound	聲音	音效
3408	strOptRender	繪製	繪圖
3639	sysmsg1	時間用盡加以排除。	因連線逾時而斷線。
3640	sysmsg2	錯誤加以排除。	因發生錯誤而斷線。
3641	sysmsg3	%s進入了我們的世界。暗黑破壞神的嘍囉又更強了。	%s進入了我們的世界，迪亞布羅的手下也隨之變強了。
3642	sysmsg4	%s離開了我們的世界，暗黑破壞神的嘍囉被削弱了。	%s離開了我們的世界。迪亞布羅的手下也隨之變弱了。
3643	sysmsg3a	%s（%s）進入了我們的世界。暗黑破壞神的嘍囉又更強了。	%s（%s）進入了我們的世界。迪亞布羅的手下也隨之變強了。
3644	sysmsg4a	%s（%s）離開了我們的世界，暗黑破壞神的嘍囉被削弱了。	%s（%s）離開了我們的世界。迪亞布羅的手下也隨之變弱了。
3646	sysmsg6	並未登錄。	並未登入。
3647	sysmsg7	死亡，殺死他的是	已經死亡。奪走其性命的是
3648	sysmsg8	死亡，殺死他的是	已經死亡。奪走其性命的是
3649	sysmsg9	死亡。	已經死亡。
3651	sysmsg11	這個國度在%d分鐘之後關閉。	此遊戲伺服器將在 %d 分鐘後關閉進行維護。
3653	sysmsgPlayer	玩者	玩家
3654	chatmsg1	耳語：	悄悄說道：
3655	chatmsg2	大叫： 	大聲喊道： 
3658	strwhisperworked	ÿc0你的耳語對像是ÿc1%sÿc0：%s	ÿc0你對ÿc1%sÿc0發送了悄悄話：%s
3659	syswork	工作中...	處理中...
3706	strqi1	按照這個順序，啟動	按照此順序啟動
3707	strqi2	該處的石塊。	該處的石柱。
3708	stsa1q3alert	赫拉迪克之鎚已經送回僧院了。	赫拉迪姆之鎚送回修道院了。
3709	stsa1q4alert	艾尼弗斯的卷軸已經送回樹木上了。	艾尼弗斯卷軸回到樹木上了。
3710	stsa3q1alert	暗黑破壞神的嘍囉拿回了藍.依森之書。	迪亞布羅的嘍囉奪回了藍伊森之書。
3721	newquestlog	新進入點	新的紀錄
3722	qsts	任務狀況	任務狀態
3724	qstsxxx	不合法的任務數值	無效的任務數值
3725	qstsnull	狀況不合法	無效的狀態
3727	qstsother	你無法在這場遊戲中完成這個任務。一位玩者已經先把這個任務解決了。	你無法在這場遊戲中完成這個任務，因為另一位玩家先完成了。
3728	qstsprevious	你在先前的遊戲之中完成這個任務了。	你在先前的遊戲中完成這個任務了。
3729	qstsThankYouComeAgain	你無法在這場遊戲中完成這個任務。你可以創造一場新的遊戲來完成它。	你無法在這場遊戲中完成這個任務。你可以創建一場新的遊戲來完成它。
3730	qstsThankYouComeAgainMulti	你無法在這場遊戲中完成這個任務。你可以創造一場新的遊戲或是加入另一場遊戲來完成它。	你無法在這場遊戲中完成這個任務。你可以創建一場新的遊戲，或是加入另一場遊戲來完成它。
3731	qstsThankYouComeAgainSingle	你無法在這場遊戲中完成這個任務。凱恩已經被救出來了，現在不須要你的幫助。	你無法在這場遊戲中完成這個任務。凱恩已經被其他人救出來了。
3732	Qstsyouarenot8	你必須到達第八級才能完成這個任務。你可以在你等級昇到第八級時，創造一場新的遊戲或是加入另一場遊戲來完成它。	你必須到達第八級才能完成這個任務。你可以在等級達到第八級時，創造一場新的遊戲或是加入另一場遊戲來完成它。
3733	qstsa1q3x	拿著赫拉迪克.馬勒斯的人離開遊戲了。	拿著赫拉迪姆之鎚的人離開了遊戲。
3734	qstsa1q4x	拿著赫拉迪克卷軸的人離開了遊戲。	拿著赫拉迪姆卷軸的人離開了遊戲。
3977	CantAssignMB	無法指定滑鼠按鈕	無法指定至滑鼠按鈕
3978	CantAssignMW	無法指定滑鼠滾輪	無法指定至滑鼠滾輪
3979	CantAssignKey	無法指定這個按鍵	無法指定至這個按鍵
3987	strnewskl	新技能	新技能點數
3991	nowaypoints	尚未啟動其他傳送點	尚未啟動其他傳送平台
4003	to	致	to
4004	srostertitle	玩者	玩家
4005	dwell	居住	Dwell
4010	Sorceress	法師	魔法使
4016	ItsMyParty	隊伍#	隊伍 #
4017	Upgrade	注入	灌注魔力
4018	upgraderestrict	不接受魔法、有凹槽、稀有、獨特或是成套物品。也不接受珠寶或是投擲性武器。	不適用魔法、鑲孔、稀有、獨特或套裝物品。也不適用珠寶或投擲武器。
4020	NPCIdentify1	辨視物品	鑑定物品
4021	NPCIdentify2	辨視物品：%d	鑑定物品：%d
4022	strCannotDoThisToUnknown	無法修理未經辨視的物品	無法修理尚未鑑定的物品
4023	Body Looted	掠奪該屍體	屍體拾取完畢
4024	Party1	可以讓你掠奪他的屍體。	允許你拾取其屍體上的裝備。
4025	Party2	可以讓你掠奪她的屍體。	允許你拾取其屍體上的裝備。
4026	Party3	表現出對你的敵意。	對你展現敵意。
4027	Party4	不再對你產生敵意。	不再對你懷有敵意。
4028	Party5	邀請你成為對抗邪惡力量的同伴。	邀請你一起對抗邪惡勢力。
4030	Party7	加入了你的隊伍，一同對抗邪惡。	加入你的隊伍一起對抗邪惡勢力。
4033	strDropGoldHowMuch	你想要丟下多少數量的金幣？	你要丟下多少數量的金幣？
4036	strBSArmor	裝甲	護甲
4041	strTradeAccept	同意交易	接受交易
4043	strWaitingForOtherPlayer	詢問另一位玩者的交易意願	詢問另一位玩家的交易意願
4046	strTradeGoldHowMuch	你想要花多少錢來成交？	你想要出價多少金幣？
4047	strTradeTimeout	你必須等一小段時間，才能和該玩者交易。	你必須等一小段時間，才能和該玩家進行交易。
4049	strBankGoldDeposit	你打算存入多少數量的金幣？	你打算存入多少金幣？
4050	strBankGoldWithdraw	你打算提出多少數量的金幣？	你打算提出多少金幣？
4052	StrUI0	石魔	魔像
4053	StrUI1	骷髏人	骷髏
4055	StrUI3	復活的	復活怪
4058	strchrexp	經驗	經驗值
4063	strchratr	%s準確率	"%s
準確率"
4065	strchrrat	%s準確率	"%s
準確率"
4066	strchrvit	體力	體能
4067	strchrstm	耐力	精力
4069	strchreng	精力	能量
4073	strchrlit	閃電抗性	電擊抗性
4075	strchrstat	屬性點數	剩餘點數
4095	strNecromanerOnly	（限死靈法師）	（只限死靈法師）
