id	old	new
3	凱恩似乎對超自然方面的知識極為豐富。我可不希望變得像他那樣博學...	凱恩似乎對超自然方面的知識極為豐富。我可不希望變得像他那樣博學…
8	往東會經過許多神秘的區域...以及那座稱為沙漠明珠的城市魯高因。	往東會經過許多神秘的區域…以及那座稱為沙漠明珠的城市魯高因。
11	"我是阿卡拉，「目盲之眼」姐妹會的高階女祭司。旅人，歡迎來到我們的營地，不過目前這裡恐怕只有這些殘磚破瓦能為你提供遮蔽。
 
如你所見，由於某種奇怪的詛咒，我們古老的姐妹會因而分崩離析。世代以來，我們一直看守通往東方大門的偉大城塞，如今落入邪惡的女惡魔安達莉爾手中。
 
我至今仍無法相信...她居然把許多俠盜姐妹變成我們的敵人，還把我們趕出歷史悠久的家園。如今，姐妹會僅存的守護者，不是身亡就是流落荒野。

陌生人，我懇求你幫助我們，去除這個可怕的詛咒。我們會對你獻上永恆不變的忠誠。"	"我是阿卡拉，「目盲之眼」姐妹會的高階女祭司。旅人，歡迎來到我們的營地，不過目前這裡恐怕只有這些殘磚破瓦能為你提供遮蔽。
 
如你所見，由於某種奇怪的詛咒，我們古老的姐妹會因而分崩離析。世代以來，我們一直看守通往東方大門的偉大城塞，如今落入邪惡的女惡魔安達莉爾手中。
 
我至今仍無法相信…她居然把許多俠盜姐妹變成我們的敵人，還把我們趕出歷史悠久的家園。如今，姐妹會僅存的守護者，不是身亡就是流落荒野。

陌生人，我懇求你幫助我們，去除這個可怕的詛咒。我們會對你獻上永恆不變的忠誠。"
12	"你好，年輕的魔法使，在這種黑暗的時代，能夠看到你們這樣仍然奮鬥不懈的人，真是令人欣慰。我認為這個世界需要更多女性挺身對抗黑暗的威脅。抱歉我有點失態...

我是阿卡拉，「目盲之眼」姐妹會的高階女祭司。旅人，歡迎來到我們的營地，不過目前這裡恐怕只有這些殘磚破瓦能為你提供遮蔽。

如你所見，由於某種奇怪的詛咒，我們古老的姐妹會因而分崩離析。世代以來，我們一直看守通往東方大門的偉大城塞，如今落入邪惡的女惡魔安達莉爾手中。

我至今仍無法相信...她居然把許多俠盜姐妹變成我們的敵人，還把我們趕出歷史悠久的家園。如今，姐妹會僅存的守護者，不是身亡就是流落荒野。

陌生人，我懇求你幫助我們，去除這個可怕的詛咒。我們會對你獻上永恆不變的忠誠。"	"你好，年輕的魔法使，在這種黑暗的時代，能夠看到你們這樣仍然奮鬥不懈的人，真是令人欣慰。我認為這個世界需要更多女性挺身對抗黑暗的威脅。抱歉我有點失態…

我是阿卡拉，「目盲之眼」姐妹會的高階女祭司。旅人，歡迎來到我們的營地，不過目前這裡恐怕只有這些殘磚破瓦能為你提供遮蔽。

如你所見，由於某種奇怪的詛咒，我們古老的姐妹會因而分崩離析。世代以來，我們一直看守通往東方大門的偉大城塞，如今落入邪惡的女惡魔安達莉爾手中。

我至今仍無法相信…她居然把許多俠盜姐妹變成我們的敵人，還把我們趕出歷史悠久的家園。如今，姐妹會僅存的守護者，不是身亡就是流落荒野。

陌生人，我懇求你幫助我們，去除這個可怕的詛咒。我們會對你獻上永恆不變的忠誠。"
21	我們內心的紀律，唯有箭術能與之匹敵...我只能祈禱這樣足以面對眼前可怕的考驗。	我們內心的紀律，唯有箭術能與之匹敵…我只能祈禱這樣足以面對眼前可怕的考驗。
34	也許崔斯特姆的命運早已註定...因為它釋放了肆虐大地的邪惡。只希望我們不會同樣悲慘。	也許崔斯特姆的命運早已註定…因為它釋放了肆虐大地的邪惡。只希望我們不會同樣悲慘。
35	我們有時會在夜裡集結在營火旁，重覆述說著精彩的故事...好忘卻失去修道院的可怕事件。	我們有時會在夜裡集結在營火旁，重覆述說著精彩的故事…好忘卻失去修道院的可怕事件。
36	"嗨，我是恰西，營地中的鐵匠。真高興能在這裡見到強大的冒險者。

當迪亞布羅首次攻擊崔斯特姆鎮時，我們有很多姐妹英勇抵抗。她們回來的時候已經成為老手，還帶著力量強大的物品。不過，看來這場勝利並沒有維持多久...如今她們大部份都被安達莉爾腐化了。"	"嗨，我是恰西，營地中的鐵匠。真高興能在這裡見到強大的冒險者。

當迪亞布羅首次攻擊崔斯特姆鎮時，我們有很多姐妹英勇抵抗。她們回來的時候已經成為老手，還帶著力量強大的物品。不過，看來這場勝利並沒有維持多久…如今她們大部份都被安達莉爾腐化了。"
37	"哇，你是野蠻人嗎？非常高興見到你。我最近在這裡看過幾個像你們這樣的冒險者，我有點嫉妒你們...真希望能和你們一起去冒險。

噢，對了...我叫恰西，是這個營地的鐵匠。"	"哇，你是野蠻人嗎？非常高興見到你。我最近在這裡看過幾個像你們這樣的冒險者，我有點嫉妒你們…真希望能和你們一起去冒險。

噢，對了…我叫恰西，是這個營地的鐵匠。"
38	"跟你說，我自從有記憶以來，一直和姐妹會成員生活在一起。可是阿卡拉告訴我，我的親生父母是來自北方部族的野蠻人，而且他們在我很小的時候就被殺死了。
 
有時候我在想，要是我以野蠻人的身分長大，現在生活會有什麼不同。

我不知道。我喜歡當個鐵匠...不過有時候我只想出去看看這個世界，你能體會嗎？"	"跟你說，我自從有記憶以來，一直和姐妹會成員生活在一起。可是阿卡拉告訴我，我的親生父母是來自北方部族的野蠻人，而且他們在我很小的時候就被殺死了。
 
有時候我在想，要是我以野蠻人的身分長大，現在生活會有什麼不同。

我不知道。我喜歡當個鐵匠…不過有時候我只想出去看看這個世界，你能體會嗎？"
