id,zhTW,grade
10021,翼盔,擴
11006,地獄爪牙顱骨,精
11008,傳說戰鎚,精
11010,狂戰斧,精
11012,征戰護手,擴
11028,窄刃匕首,擴
1930,便帽,普
1931,顱帽,普
1932,頭盔,普
1933,全罩盔,普
1934,重盔,普
1935,王冠,普
1936,面具,普
1937,棉布甲,普
1938,皮革甲,普
1939,硬皮甲,普
1940,鑲釘皮甲,普
1941,環甲,普
1942,鱗甲,普
1943,鎖鍊甲,普
1944,胸鎧,普
1945,板甲,普
1946,鎧甲,普
1947,野戰鎧甲,普
1948,哥德鎧甲,普
1949,全身鎧甲,普
1950,上古鎧甲,普
1951,輕型鎧甲,普
1952,小圓盾,普
1953,小型盾,普
1954,大型盾,普
1955,鳶盾,普
1956,塔盾,普
1957,哥德盾,普
1958,皮革手套,普
1959,厚皮手套,普
1960,鍊甲手套,普
1961,輕型護手,普
1962,鋼鐵護手,普
1963,皮靴,普
1964,重靴,普
1965,鎖鍊靴,普
1966,輕鎧靴,普
1967,護脛,普
1968,束帶,普
1969,輕腰帶,普
1970,腰帶,普
1971,厚腰帶,普
1972,鎧甲腰帶,普
1973,骸骨頭盔,普
1974,骨盾,普
1975,尖刺盾,普
1976,手斧,普
1977,斧,普
1978,雙刃斧,普
1979,軍用鎬,普
1980,征戰斧,普
1981,重斧,普
1982,闊斧,普
1983,戰斧,普
1984,巨斧,普
1985,巨人斧,普
1986,魔杖,普
1987,紫杉杖,普
1988,骸骨魔杖,普
1989,陰森魔杖,普
1990,短棒,普
1991,權杖,普
1992,莊嚴權杖,普
1993,征戰權杖,普
1994,狼牙棒,普
1995,釘鎚,普
1996,釘頭鎚,普
1997,連枷,普
1998,戰鎚,普
1999,重鎚,普
2000,巨型重鎚,普
2001,短劍,普
2002,彎刀,普
2003,軍刀,普
2004,彎刃大刀,普
2005,水晶劍,普
2006,闊劍,普
2007,長劍,普
2008,征戰劍,普
2009,雙手劍,普
2010,闊刃大劍,普
2011,大劍,普
2012,重劍,普
2013,焰形劍,普
2014,巨劍,普
2015,匕首,普
2016,長匕首,普
2017,波刃匕首,普
2018,利刃匕首,普
20181,拳刃,普
20182,腕刃,普
20183,刃拳,普
20184,爪,普
20185,刃爪,普
20186,剪刃,普
20187,格鬥刃,擴
20188,腕刺,擴
20189,格鬥爪,擴
2019,飛刀,普
20190,手鐮,擴
20191,巨爪,擴
20192,巨鷹爪,擴
20193,格鬥剪刃,擴
20194,穿擊拳刃,精
20195,腕劍,精
20196,征戰拳套,精
20197,戰鬥刃拳,精
20198,蠻獸爪,精
20199,符紋爪,精
2020,飛斧,普
20200,穿擊剪刃,精
20201,輕斧,精
20202,彎月斧,精
20203,雙頭斧,精
20204,征戰鎬,精
20206,蠻野斧,精
20207,銀刃斧,精
20208,斬首斧,精
20209,豪傑斧,精
2021,平衡飛刀,普
20210,榮光斧,精
20211,拋光魔杖,精
20212,鬼魂魔杖,精
20213,巫妖魔杖,精
20214,埋骨魔杖,精
20215,打擊棍,精
20216,強威權杖,精
20217,熾天使節杖,精
20218,神使權杖,精
20219,暴君棍棒,精
2022,平衡飛斧,普
20220,強化釘鎚,精
20221,妖鬼釘頭鎚,精
20222,罪罰連枷,精
20223,傳說戰鎚,精
20224,巨魔重鎚,精
20225,雷霆重鎚,精
20226,法卡塔劍,精
20227,土耳其彎刀,精
20228,典雅彎刀,精
20229,多頭蛇刃,精
2023,標槍,普
20230,幻化之刃,精
20231,征服之劍,精
20232,絕秘劍,精
20233,秘儀劍,精
20234,傳說劍,精
20235,高地劍,精
20236,炎魔之刃,精
20237,豪傑大劍,精
20238,巨神劍,精
20239,巨神刃,精
2024,長標槍,普
20240,骸骨小刀,精
20241,秘銀尖刀,精
20242,尖齒小刀,精
20243,傳說尖刀,精
20244,高速飛刀,精
20245,高速飛斧,精
20246,刃翼飛刀,精
20247,刃翼飛斧,精
20248,亥伯龍標槍,精
20249,冥河標槍,精
2025,短矛,普
20250,炎魔長矛,精
20251,鬼魂刃槍,精
20252,飛翼魚叉,精
20253,亥伯龍矛,精
20254,冥河戰矛,精
20255,捕人叉,精
20256,鬼魂長矛,精
20257,征戰長槍,精
20258,巨魔斧,精
20259,巨神長柄斧,精
2026,長刃槍,普
20260,斬鐮,精
20261,絕秘斧,精
20262,巨型長柄斧,精
20263,巨型斬鐮,精
20264,手杖,精
20265,鐘乳石杖,精
20266,長者法杖,精
20267,節瘤木杖,精
20268,統御者法杖,精
20269,蜘蛛弓,精
2027,飛矛,普
20270,刀鋒弓,精
20271,暗影弓,精
20272,巨弓,精
20273,鑽石弓,精
20274,聖教軍長弓,精
20275,庇護弓,精
20276,多頭蛇弓,精
20277,彈丸弩,精
20278,蛇魔弩,精
20279,巨神弩,精
2028,長矛,普
20280,惡魔弩,精
20281,鷹之法珠,普
20282,神聖天球,普
20283,攏煙之球,普
20284,握扣法珠,普
2029,三叉戟,普
20292,獵鹿弓,普
20293,反射弓,普
20294,女戰長矛,普
20295,女戰長槍,普
20296,女戰標槍,普
20297,靈光法珠,擴
20298,水晶天球,擴
20299,雲霧之球,擴
2030,三叉槍,普
20300,閃耀之球,擴
20301,渦流水晶,擴
20302,梣木弓,擴
20303,儀禮弓,擴
20304,儀禮長矛,擴
20305,儀禮長槍,擴
20306,儀禮標槍,擴
20307,天堂之石,精
20308,異能法珠,精
20309,惡魔心石,精
2031,勾刃槍,普
20310,漩渦法珠,精
20311,次元法珠,精
20312,女傑之弓,精
20313,主母之弓,精
20314,女傑長矛,精
20315,女傑長槍,精
20316,女傑標槍,精
20317,獵鷹面具,普
20318,飛鷹頭盔,普
20319,巨角獸帽,普
2032,步戰矛,普
20320,狼頭獸帽,普
20321,靈狼面具,普
20322,顎骨帽,普
20323,尖牙頭盔,普
20324,尖角頭盔,普
20325,突擊頭盔,普
20326,復仇者護盔,普
20327,小盾,普
20328,輕圓盾,普
20329,紋章盾,普
2033,月牙砍刀,普
20330,艾文之盾,普
20331,冠冕之盾,普
20332,防腐頭顱,普
20333,殭屍頭顱,普
20334,解繃者頭顱,普
20335,石像鬼頭顱,普
20336,惡魔頭顱,普
20337,頭環,普
20338,寶冠,普
20339,頭冠,擴
2034,槍斧,普
20340,權冠,精
20341,軍帽,精
20342,多頭蛇顱盔,精
20343,覆頰盔,精
20344,巨螺盔,精
20345,巨角頭盔,精
20346,日冕之冠,精
20347,惡魔頭骨,精
20348,灰暮罩衣,精
20349,龍皮甲,精
2035,鐮刀,普
20350,聖甲蟲殼皮甲,精
20351,鋼線毛皮甲,精
20352,鑽石鎖甲,精
20353,綴鱗戰甲,精
20354,骸骨網甲,精
20355,鱗鎧胸甲,精
20356,炎魔皮板甲,精
20357,地獄鍛甲,精
20358,海怪之殼,精
20359,漆護鎧甲,精
2036,長柄斧,普
20360,暗影鎧甲,精
20361,神聖戰甲,精
20362,統御者鎧甲,精
20363,斗盾,精
20364,圓月盾,精
20365,亥伯龍盾,精
20366,君主盾,精
20367,禦塔盾,精
20368,庇護盾,精
20369,荊棘手套,精
2037,長戟,普
20370,吸血鬼骸骨手套,精
20371,護臂,精
20372,聖教軍護手,精
20373,巨魔護手,精
20374,龍皮靴,精
20375,聖甲蟲殼皮靴,精
20376,骸骨網靴,精
20377,幻鏡戰靴,精
20378,勇士護脛,精
20379,蛛網束帶,精
2038,征戰鐮刀,普
20380,吸血鬼牙腰帶,精
20381,秘銀腰帶,精
20382,食人妖腰帶,精
20383,巨神腰帶,精
20384,骸骨面罩,精
20385,食人妖骨盾,精
20386,刀刃刺盾,精
20387,聖羽頭飾,擴
20388,獅鷲獸頭飾,擴
20389,獵人面罩,擴
2039,短杖,普
20390,猛狼頭盔,擴
20391,圖騰面具,擴
20392,顎骨面甲,擴
20393,獅牙頭盔,擴
20394,狂怒面具,擴
20395,凶蠻頭盔,擴
20396,殺手護盔,擴
20397,阿卡拉圓盾,擴
20398,阿卡拉輕圓盾,擴
20399,守護之盾,擴
2040,長杖,普
20400,金紋盾,擴
20401,皇家盾,擴
20402,木乃伊首級,擴
20403,鬼娃首級,擴
20404,司事首級,擴
20405,領唱者首級,擴
20406,祭司首級,擴
20407,天翔靈獸帽,精
20408,日陽靈獸帽,精
20409,地土靈獸帽,精
2041,木節法杖,普
20410,血系靈獸帽,精
20411,幽夢靈獸帽,精
20412,屠殺頭盔,精
20413,暴怒面甲,精
20414,毀滅者頭盔,精
20415,征服者盔冠,精
20416,守護者盔冠,精
20417,神聖小盾,精
20418,神聖輕圓盾,精
20419,撒卡蘭姆盾,精
2042,戰鬥法杖,普
20420,渦旋盾,精
20421,僕從顱骨,精
20422,地獄爪牙顱骨,精
20423,督軍顱骨,精
20424,魅魔顱骨,精
20425,鮮血之王顱骨,精
2043,征戰法杖,普
2044,短弓,普
2045,獵弓,普
2046,長弓,普
2047,複合弓,普
2048,戰鬥短弓,普
2049,戰鬥長弓,普
2050,征戰短弓,普
2051,征戰長弓,普
2052,輕弩,普
2053,弩,普
2054,重弩,普
2055,連弩,普
2056,倒刺盾,擴
2057,陰森盾牌,擴
2058,陰森頭盔,擴
2059,征戰腰帶,擴
2060,戰鬥腰帶,擴
2061,鐵網腰帶,擴
2062,鯊皮腰帶,擴
2063,魔皮束帶,擴
2064,征戰靴,擴
2065,戰鬥靴,擴
2066,鐵網靴,擴
2067,鯊皮靴,擴
2068,魔皮長靴,擴
2070,戰鬥護手,擴
2071,重型護腕,擴
2072,鯊皮手套,擴
2073,魔皮手套,擴
2074,上古盾,擴
2075,大盾,擴
2076,龍盾,擴
2077,大圓盾,擴
2078,圓型盾,擴
2079,防禦盾,擴
2080,法師鎧甲,擴
2081,華麗戰甲,擴
2082,混沌戰甲,擴
2083,雕紋戰甲,擴
2084,鯊齒戰甲,擴
2085,聖堂騎士戰甲,擴
2086,赤褐戰甲,擴
2087,護胸甲,擴
2088,鐵網戰甲,擴
2089,鎖鱗戰甲,擴
2090,鍊扣戰甲,擴
2091,格網護甲,擴
2092,魔皮護甲,擴
2093,海蛇皮甲,擴
2094,鬼魂戰衣,擴
2095,死亡面具,擴
2096,莊嚴王冠,擴
2098,輕盔,擴
2099,兜盔,擴
2100,便盔,擴
2101,戰帽,擴
2102,諸葛弩,擴
2103,砲弩,擴
2104,攻城弩,擴
2105,鋼弩,擴
2106,哥德弓,擴
2107,符文弓,擴
2108,攻城長弓,擴
2109,攻城短弓,擴
2110,雙曲弓,擴
2111,杉木弓,擴
2112,剃刀弓,擴
2113,銳弓,擴
2114,符文法杖,擴
2115,哥德法杖,擴
2116,杉木法杖,擴
2117,長棍,擴
2118,棍杖,擴
2119,陰森鐮刀,擴
2120,渡鴉喙,擴
2121,闊頭槍,擴
2122,戰鬥鐮刀,擴
2123,長柄鍥,擴
2124,鉤斧,擴
2125,長槍,擴
2126,三尖槍,擴
2127,征戰軍叉,擴
2128,矛叉,擴
2129,征戰長矛,擴
2130,魚叉,擴
2131,尖刃槍,擴
2132,銳矛標槍,擴
2133,重型標槍,擴
2134,征戰標槍,擴
2135,投斧,擴
2136,征戰飛鏢,擴
2137,法蘭西飛斧,擴
2138,戰鬥飛鏢,擴
2140,闊身短劍,擴
2141,圓柄匕首,擴
2142,刺擊短劍,擴
2143,處刑劍,擴
2144,日耳曼大劍,擴
2145,長牙劍,擴
2146,達西安長刀,擴
2147,雙手重劍,擴
2148,上古劍,擴
2149,符文劍,擴
2150,戰鬥長劍,擴
2151,次元刃,擴
2152,印度彎刀,擴
2153,波斯彎刀,擴
2154,水手刀,擴
2155,羅馬短劍,擴
2156,長柄戰鎚,擴
2157,征戰重鎚,擴
2158,戰鬥鐵鎚,擴
2159,刑罪連枷,擴
2160,鋸齒釘頭鎚,擴
2161,凸緣釘鎚,擴
2162,倒刺棍棒,擴
