id	zhTW	max
10000	霸圖克的割喉爪	200ED/9LL
10122	克維雷布的防護	防禦29
10124	克維雷布的短棍	23MAX
10125	海沙魯的鐵跟	防禦9
10126	海沙魯的鐵拳	基本防禦6
10129	克雷德勞之爪	防禦27
10130	克雷德勞之鉗	防禦9
10132	依雷撒的盤頂	基本防禦45
10133	依雷撒的袖銬	防禦11
10135	依森哈特的角盔	防禦26
10136	依森哈特的外殼	基本防禦68
10137	依森哈特的招架	防禦75
10140	維達拉的突襲	基本防禦17
10141	維達拉的足距	防禦11
10144	米拉伯佳權冠	防禦45
10149	卡珊的容貌	基本防禦27
10150	卡珊的網衣	防禦90
10153	坦克雷的脊柱	基本防禦161
10154	坦克雷的釘靴	防禦3
10156	坦克雷的顱骨	防禦36
10157	西剛的護面	防禦60
10159	西剛的挑戰	防禦15
10160	西剛的硬靴	防禦15
10161	西剛的裹腰	基本防禦11
10162	西剛的守護	防禦25
10163	煉獄頭骨	基本防禦5
10166	狂戰士頭盔	防禦33
10167	狂戰士鎖子甲	基本防禦95
10169	死亡之手	防禦3
10177	北極毛皮	325ED
10179	北極手套	防禦11
10182	阿卡娜的頭	基本防禦11
10183	阿卡娜的血肉	基本防禦107
10911	狂巫之弦	170ED
11153	地獄火炬	20ATTR/20RES
21286	冷殺	190ED
21288	屠夫的徒弟	200ED
21289	島擊	190ED
21290	龐貝之怒	170ED
21291	那伽守護者	180ED
21293	鋼鐵魔咒	15MDR
21294	暴風騎士	20電能彈(10%)
21295	斬骨者之斧	220ED
21301	闇族碎滅者	25AR
21304	惡臭散佈者	190ED/200AR
21305	聖光之手	160ED
21306	血肉撕裂者	200ED
21307	尖嘯冰霜	180ED
21308	月落	150ED/12MDR
21311	血樹殘株	220ED
21312	痛苦之槌	160ED
21313	放血者	3旋風斬/4刀劍專精
21315	妖火	160ED
21316	阿里巴巴之刃	120ED/15DEX
21321	恐懼之嘔	200ED
21322	冰之王	160ED
21323	兇邪軀殼	200ED
21324	雲裂	200ED
21325	死落之火	160ED
21326	劍衛	180ED/20RES
21327	裂脊者	240ED
21328	刨心者	240ED
21331	刺穿者	170ED
21332	水魔陷阱	180ED
21333	噬魂叉	190ED/250AR
21334	骨寸斷	200ED
21335	榮耀尖塔	200ED
21336	刮肉者	200ED
21337	黑蛭長刀	140ED
21338	雅典娜之怒	3DRU/180ED
21339	墓石長戟	220ED/200AR
