id,zhTW,rarity,comment
2550,權冠,2,tc87
11008,傳說戰鎚,1,tc84
11010,狂戰斧,2,tc87
20200,穿擊剪刃,2,tc87
20209,豪傑斧,1,tc84
20210,榮光斧,2,tc87
20214,埋骨魔杖,2,tc87
20218,神使權杖,2,tc87
20223,傳說戰鎚,1,tc84
20225,雷霆重鎚,2,tc87
20232,絕秘劍,1,tc84
20233,秘儀劍,2,tc87
20239,巨神刃,2,tc87
20242,尖齒小刀,1,tc84
20243,傳說尖刀,2,tc87
20252,飛翼魚叉,2,tc87
20256,鬼魂長矛,1,tc84
20257,征戰長槍,2,tc87
20262,巨型長柄斧,1,tc84
20263,巨型斬鐮,2,tc87
20267,節瘤木杖,1,tc84
20268,統御者法杖,2,tc87
20276,多頭蛇弓,2,tc87
20280,惡魔弩,1,tc84
20310,漩渦法珠,1,tc84
20311,次元法珠,2,tc87
20340,權冠,2,tc87
20346,日冕之冠,2,tc87
20359,漆護鎧甲,1,tc84
20360,暗影鎧甲,1,tc84
20361,神聖戰甲,2,tc87
20362,統御者鎧甲,1,tc84
20368,庇護盾,1,tc84
20373,巨魔護手,2,tc87
20378,勇士護脛,2,tc87
20382,食人妖腰帶,1,tc84
20383,巨神腰帶,2,tc87
20384,骸骨面罩,1,tc84
20407,天翔靈獸帽,1,tc84
20411,幽夢靈獸帽,2,tc87
20416,守護者盔冠,2,tc87
20419,撒卡蘭姆盾,1,tc84
20420,渦旋盾,2,tc87
20425,鮮血之王顱骨,2,tc87
