id	Key	zhTW	enUS
11146	pk1	恐懼之鑰	Key of Terror
11147	pk2	憎恨之鑰	Key of Hate
11148	pk3	毀滅之鑰	Key of Destruction
11149	dhn	迪亞布羅之角	Diablo's Horn
11150	bey	巴爾之眼	Baal's Eye
11151	mbr	墨菲斯托之腦	Mephisto's Brain
11163	toa	赦免徽章	Token of Absolution
11164	tes	扭曲的苦怨精華	Twisted Essence of Suffering
11165	ceh	充盈的憎恨精華	Charged Essence of Hatred
11166	bet	燃燒的恐懼精華	Burning Essence of Terror
11167	fed	潰爛的毀滅精華	Festering Essence of Destruction
27579	xa1	西方的世界之石碎片	Western Worldstone Shard
27580	xa2	東方的世界之石碎片	Eastern Worldstone Shard
27581	xa3	南方的世界之石碎片	Southern Worldstone Shard
27582	xa4	深處的世界之石碎片	Deep Worldstone Shard
27583	xa5	北方的世界之石碎片	Northern Worldstone Shard
27609	ua1	塔力克的怨慟	Talic's Anguish
27610	ua2	科力克的苦痛	Korlic's Pain
27611	ua3	馬道克的怒火	Madawc's Ire
27612	ua4	布爾凱索的夢魘	Bul-Kathos' Nightmare
27613	ua5	沃魯斯克的終結	Worusk's End
