id	Key	zhTW	prefix	newName	suffix	color
2182	gpl	刺鼻毒氣藥水		小毒		gray
2183	opl	烈性藥水		小炸		gray
2184	gpm	窒息毒氣藥水		中毒		gray
2185	opm	爆炸藥水		中炸		gray
2186	gps	腐臭毒氣藥水		大毒		gray
2187	ops	火油藥水		大炸		gray
2200	tsc	城鎮傳送卷軸		回城		gray
2202	isc	鑑定卷軸		鑑定		gray
2207	vps	精力藥水		精力		gray
2209	rvs	活力藥水		小紫
2211	wms	融冰藥水		融冰		gray
2221	Key	鑰匙				gray
2222	key	鑰匙				gray
2266	hp1	弱效生命藥水		微紅		gray
2267	hp2	輕效生命藥水		小紅		gray
2268	hp3	生命藥水		中紅		gray
2269	hp4	強效生命藥水		大紅		gray
2270	hp5	特效生命藥水		超紅
2271	mp1	弱效法力藥水		微藍		gray
2272	mp2	輕效法力藥水		小藍		gray
2273	mp3	法力藥水		中藍		gray
2274	mp4	強效法力藥水		大藍		gray
2275	mp5	特效法力藥水		超藍	
