id,zhTW,new_name
1712,%0%1,%0
1723,劣等的,
1724,損壞的,
1725,破舊的,
1727,特等的,★特等的★
2182,刺鼻毒氣藥水,小毒
2183,烈性藥水,小炸
2184,窒息毒氣藥水,中毒
2185,爆炸藥水,中炸
2186,腐臭毒氣藥水,大毒
2187,火油藥水,大炸
2200,城鎮傳送卷軸,回城
2202,鑑定卷軸,鑑定
2207,精力藥水,精力
2208,解毒藥水,解毒
2209,活力藥水,小紫
2210,全效活力藥水,大紫
2211,融冰藥水,融冰
2212,護身符,★護身符★
2214,戒指,★戒指★
2215,金幣,金
2266,弱效生命藥水,微紅
2267,輕效生命藥水,小紅
2268,生命藥水,中紅
2269,強效生命藥水,大紅
2270,特效生命藥水,超紅
2271,弱效法力藥水,微藍
2272,輕效法力藥水,小藍
2273,法力藥水,中藍
2274,強效法力藥水,大藍
2275,特效法力藥水,超藍
11146,恐懼之鑰,恐懼之鑰|A1
11147,憎恨之鑰,憎恨之鑰|A2
11148,毀滅之鑰,毀滅之鑰|A5
11164,扭曲的苦怨精華,扭曲的苦怨精華|A1A2
11165,充盈的憎恨精華,充盈的憎恨精華|A3
11166,燃燒的恐懼精華,燃燒的恐懼精華|A4
11167,潰爛的毀滅精華,潰爛的毀滅精華|A5
20433,珠寶,★珠寶★
20435,小型咒符,★小型咒符★
20436,大型咒符,★大型咒符★
20437,特大咒符,★特大咒符★
