id,zhTW,suffix
10902,符文：埃歐,#16
10903,埃歐,#16
10904,符文：夏,#13
10905,夏,#13
10906,符文：喬,#31
10907,喬,#31
11146,恐懼之鑰,|A1
11147,憎恨之鑰,|A2
11148,毀滅之鑰,|A5
11164,扭曲的苦怨精華,|A1A2
11165,充盈的憎恨精華,|A3
11166,燃燒的恐懼精華,|A4
11167,潰爛的毀滅精華,|A5
20440,符文：薩德,#33
20441,符文：查姆,#32
20443,符文：貝,#30
20444,符文：瑟,#29
20445,符文：羅,#28
20446,符文：歐姆,#27
20447,符文：伐克斯,#26
20448,符文：古爾,#25
20449,符文：伊司特,#24
20450,符文：馬爾,#23
20451,符文：烏姆,#22
20452,符文：普爾,#21
20453,符文：藍姆,#20
20454,符文：法爾,#19
20455,符文：科,#18
20456,符文：盧姆,#17
20458,符文：海爾,#15
20459,符文：多爾,#14
20461,符文：索爾,#12
20462,符文：安姆,#11
20463,符文：書爾,#10
20464,符文：歐特,#09
20465,符文：拉爾,#08
20466,符文：塔爾,#07
20467,符文：伊司,#06
20468,符文：愛斯,#05
20469,符文：那夫,#04
20470,符文：特爾,#03
20471,符文：艾德,#02
20472,符文：艾爾,#01
20473,薩德,#33
20474,查姆,#32
20476,貝,#30
20477,瑟,#29
20478,羅,#28
20479,歐姆,#27
20480,伐克斯,#26
20481,古爾,#25
20482,伊司特,#24
20483,馬爾,#23
20484,烏姆,#22
20485,普爾,#21
20486,藍姆,#20
20487,法爾,#19
20488,科,#18
20489,盧姆,#17
20491,海爾,#15
20492,多爾,#14
20494,索爾,#12
20495,安姆,#11
20496,書爾,#10
20497,歐特,#09
20498,拉爾,#08
20499,塔爾,#07
20500,伊司,#06
20501,愛斯,#05
20502,那夫,#04
20503,特爾,#03
20504,艾德,#02
20505,艾爾,#01
27186,恐懼默默凝視聖休亞瑞。, 【1/6】
27187,恐懼逐漸逼近聖休亞瑞。, 【2/6】
27188,恐懼開始滲入聖休亞瑞。, 【3/6】
27189,恐懼蔓延整個聖休亞瑞。, 【4/6】
27190,恐懼即將現身聖休亞瑞。, 【5/6】
27191,迪亞布羅入侵聖休亞瑞了！, 【6/6】
