id,zhTW,weight
11006,地獄爪牙顱骨,輕
1937,棉布甲,輕
1938,皮革甲,輕
1939,硬皮甲,輕
1940,鑲釘皮甲,輕
1941,環甲,中
1942,鱗甲,重
1943,鎖鍊甲,中
1944,胸鎧,輕
1945,板甲,中
1946,鎧甲,重
1947,野戰鎧甲,中
1948,哥德鎧甲,中
1949,全身鎧甲,重
1950,上古鎧甲,中
1951,輕型鎧甲,輕
1952,小圓盾,輕
1953,小型盾,輕
1954,大型盾,中
1955,鳶盾,輕
1956,塔盾,重
1957,哥德盾,中
1974,骨盾,輕
1975,尖刺盾,輕
20327,小盾,輕
20328,輕圓盾,輕
20329,紋章盾,輕
20330,艾文之盾,輕
20331,冠冕之盾,輕
20332,防腐頭顱,輕
20333,殭屍頭顱,輕
20334,解繃者頭顱,輕
20335,石像鬼頭顱,輕
20336,惡魔頭顱,輕
20348,灰暮罩衣,輕
20349,龍皮甲,輕
20350,聖甲蟲殼皮甲,輕
20351,鋼線毛皮甲,輕
20352,鑽石鎖甲,中
20353,綴鱗戰甲,重
20354,骸骨網甲,中
20355,鱗鎧胸甲,輕
20356,炎魔皮板甲,中
20357,地獄鍛甲,重
20358,海怪之殼,中
20359,漆護鎧甲,中
20360,暗影鎧甲,重
20361,神聖戰甲,中
20362,統御者鎧甲,輕
20363,斗盾,輕
20364,圓月盾,輕
20365,亥伯龍盾,中
20366,君主盾,輕
20367,禦塔盾,重
20368,庇護盾,中
20385,食人妖骨盾,輕
20386,刀刃刺盾,輕
20397,阿卡拉圓盾,輕
20398,阿卡拉輕圓盾,輕
20399,守護之盾,輕
20400,金紋盾,輕
20401,皇家盾,輕
20402,木乃伊首級,輕
20403,鬼娃首級,輕
20404,司事首級,輕
20405,領唱者首級,輕
20406,祭司首級,輕
20417,神聖小盾,輕
20418,神聖輕圓盾,輕
20419,撒卡蘭姆盾,輕
20420,渦旋盾,輕
20421,僕從顱骨,輕
20422,地獄爪牙顱骨,輕
20423,督軍顱骨,輕
20424,魅魔顱骨,輕
20425,鮮血之王顱骨,輕
2056,倒刺盾,輕
2057,陰森盾牌,輕
2074,上古盾,中
2075,大盾,重
2076,龍盾,輕
2077,大圓盾,中
2078,圓型盾,輕
2079,防禦盾,輕
2080,法師鎧甲,輕
2081,華麗戰甲,中
2082,混沌戰甲,重
2083,雕紋戰甲,中
2084,鯊齒戰甲,中
2085,聖堂騎士戰甲,重
2086,赤褐戰甲,中
2087,護胸甲,輕
2088,鐵網戰甲,中
2089,鎖鱗戰甲,重
2090,鍊扣戰甲,中
2091,格網護甲,輕
2092,魔皮護甲,輕
2093,海蛇皮甲,輕
2094,鬼魂戰衣,輕
21779,庫拉斯特盾,輕
