Name	Id	*StringName	GroupName
Null	0	Null	
Act 1 - Town	1	Rogue Encampment	act1 1 LG
Act 1 - Blood Moor	2	Blood Moor	act1 1 LG
Act 1 - Cold Plains	3	Cold Plains	act1 1 LG
Act 1 - Stony Field	4	Stony Field	act1 1 LG
Act 1 - Dark Wood	5	Dark Wood	act1 1 LG
Act 1 - Black Marsh	6	Black Marsh	act1 1 LG
Act 1 - Tamoe Highland	7	Tamoe Highland	act1 1 LG
Act 1 - Den of Evil	8	Den of Evil	act1 1 LG
Act 1 - Cave	9	Cave	act1 1 LG
Act 1 - Underground Passage	10	Underground Passage	act1 1 LG
Act 1 - Hole	11	Hole	act1 1 LG
Act 1 - Pit	12	Pit	act1 1 LG
Act 1 - Burial Grounds	13	Burial Grounds	act1 1 LG
Act 1 - Crypt	14	Crypt	act1 1 LG
Act 1 - Mausoleum	15	Mausoleum	act1 1 LG
Act 1 - Forgotten Tower	16	Forgotten Tower	act1 1 LG
Act 1 - Monastery Gate	17	Monastery Gate	act1 1 LG
Act 1 - Outer Cloister	18	Outer Cloister	act1 1 LG
Act 1 - Barracks	19	Barracks	act1 1 LG
Act 1 - Jail	20	Jail Level 1	act1 1 LG
Act 1 - Inner Cloister	21	Inner Cloister	act1 1 LG
Act 1 - Cathedral	22	Cathedral	act1 1 LG
Act 1 - Catacombs	23	Catacombs	act1 1 LG
Act 1 - Tristram	24	Tristram	act1 1 LG
Act 1 - Moo Moo Farm	25	Moo Moo Farm	act1 1 LG
Act 2 - Town	26	Lut Gholein	act2 1 LG
Act 2 - Rocky Waste	27	Rocky Waste	act2 1 LG
Act 2 - Dry Hills	28	Dry Hills	act2 1 LG
Act 2 - Far Oasis	29	Far Oasis	act2 1 LG
Act 2 - Lost City	30	Lost City	act2 1 LG
Act 2 - Valley of Snakes	31	Valley of Snakes	act2 1 LG
Act 2 - Canyon of the Magi	32	Canyon of the Magi	act2 1 LG
Act 2 - Sewers	33	Sewers	act2 1 LG
Act 2 - Harem	34	Harem	act2 1 LG
Act 2 - Palace Cellar	35	Palace Cellar	act2 1 LG
Act 2 - Stony Tomb	36	Stony Tomb	act2 1 LG
Act 2 - Halls of the Dead	37	Halls of the Dead	act2 1 LG
Act 2 - Claw Viper Temple	38	Claw Viper Temple	act2 1 LG
Act 2 - Maggot Lair	39	Maggot Lair	act2 1 LG
Act 2 - Ancient Tunnels	40	Ancient Tunnels	act2 1 LG
Act 2 - Tal Rasha's Tomb	41	Tal Rasha's Tomb	act2 1 LG
Act 2 - Duriel's Lair	42	Duriel's Lair	act2 1 LG
Act 2 - Arcane Sanctuary	43	Arcane Sanctuary	act2 1 LG
Act 3 - Town	44	Kurast Docktown	act3 1 LG
Act 3 - Spider Forest	45	Spider Forest	act3 1 LG
Act 3 - Great Marsh	46	Great Marsh	act3 1 LG
Act 3 - Flayer Jungle	47	Flayer Jungle	act3 1 LG
Act 3 - Lower Kurast	48	Lower Kurast	act3 1 LG
Act 3 - Kurast Bazaar	49	Kurast Bazaar	act3 1 LG
Act 3 - Upper Kurast	50	Upper Kurast	act3 1 LG
Act 3 - Kurast Causeway	51	Kurast Causeway	act3 1 LG
Act 3 - Travincal	52	Travincal	act3 1 LG
Act 3 - Arachnid Lair	53	Arachnid Lair	act3 1 LG
Act 3 - Spider Cavern	54	Spider Cavern	act3 1 LG
Act 3 - Swampy Pit	55	Swampy Pit	act3 1 LG
Act 3 - Flayer Dungeon	56	Flayer Dungeon	act3 1 LG
Act 3 - Sewers	57	Sewers	act3 1 LG
Act 3 - Ruined Temple	58	Ruined Temple	act3 1 LG
Act 3 - Disused Fane	59	Disused Fane	act3 1 LG
